"","Adela rufimatrella","Andrena haemorrhoa","Andrena pubescens","Andrena wilkella","Anosymia sp1 M_PL_006","Anthomyidae sp1 M_PL_006","Autographa sp1 M_PL_006","Bombus hortorum","Bombus lapidarius","Bombus pascuorum","Bombus pratorum","Bombus terrestris/lucorum","Cheilosia albitarsis","Chloromyia formosa ","Chrysogaster sp1 M_PL_006","Empis livida","Eriothrix rufomaculatus","Eristalinus sepulcharius","Eristalis intricarius","Eristalis nemorum","Eristalis pertinax","Eristalis tenax","Helophilus sp1 M_PL_006","Helophilus trivittatus","Lasioglossum calceatum","Lasioglossum leucozonium","Lasioglossum villosulum","Lasiommata megera ","Lejogaster splendida","Lucillia sp1 M_PL_006","Lycaena phlaeas ","Malachius viridus ","Maniola jurtina","Megachile willughbiella","Melanostoma sp1 M_PL_006","Meliscaeva sp1 M_PL_006","Micromoth sp1 M_PL_006","Nemotelus pantherinus","Neoascia tenur","Ochlodes venata ","Odontomyia tigrina","Odontomyia viridula","Oligia sp1 M_PL_006","Parhelophilus sp1 M_PL_006","Phaonia incarna","Platycheirus sp1 M_PL_006","Pollenia sp1 M_PL_006","Polyommatus icarus ","Psithyrus vest","Pyronia tithonus ","Rhagio tringarius","Rhagonycha fulva","Sarcophagus sp1 M_PL_006","Scathophaga stercoraria","Sphaerophoria sp1 M_PL_006","Syritta pipiens","Syrphus sp1 M_PL_006","Tetanocera ferruginea ","Thymelicus sp1 M_PL_006","Tropidia scitta","Zygaena filipendulae "
"Achillea millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea nigra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cirsium arvense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypochoeris radicata",0,1,0,0,0,3,0,0,0,2,0,15,0,0,0,0,0,6,1,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,0
"Lathyrus pratensis",0,0,0,1,0,0,0,5,0,18,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Leucanthemum vulgare",1,2,1,5,1,17,0,2,0,3,2,33,5,0,30,15,2,192,26,35,2,19,225,5,0,0,0,5,26,68,8,1,19,0,3,0,6,1,0,0,7,4,1,1,426,5,55,2,10,0,5,1,2,14,4,29,6,1,1,252,0
"Lotus corniculatus",0,0,1,7,0,0,2,13,1,47,1,965,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,4,0,1,0,0,19,9,0,0,0,0,0,2,1,0,0,0,3,1,0,3,1,1,0,0,0,1,0,0,0,0,7,0,2
"Lychnis flos-cuculi",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Prunella vulgaris",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ranunculus acris",0,0,0,0,0,16,0,0,0,0,0,1,11,0,0,0,0,2,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Taraxacum officinale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium dubium",0,1,0,8,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium pratense",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium repens",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vicia cracca",0,0,0,4,0,0,0,4,0,4,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Vicia sativa",0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
