"","Acmaeodera cisti ","Anaspis proteus ","Andrena sp1 M_PL_012","Anthophora alluaudi","Apis mellifera","Aricia cramera ","Artogeia rapae ","Attalus sp1 M_PL_012","Bibio elmoi","Bombus canariensis ","Brachypterus sp1 M_PL_012","Bruchidius wollastoni ","Chrysotoxum triarcuatum ","Cleora fortunata ","Colias crocea ","Cornutiplusia circumflexa ","Cyclyrius webbianus","Dasyphora albofasciata ","Delia platura ","Drosophila sp1 M_PL_012","Empis sp1 M_PL_012","Eristalis tenax","Gonepteryx cleopatra","Halictus sp1 M_PL_012","Heringia adpropinquans ","Lampides boeticus ","Lasioglossum chalcodes","Lasioglossum loetum ","Lycaena phlaeas ","Macroglossum stellatarum","Maniola jurtina","Meliscaeva auricollis ","Mordella israelsoni ","Myotropa florea ","Pandoriana pandora ","Pararge xiphioides ","Piezodorus punctipes ","Podalonia tydei ","Pontia daplidice ","Pseudogonia fasciata ","Sapromyza sp1 M_PL_012","Siphona sp1 M_PL_012","Sphecodes marginatus ","Sphecodes ruficrus ","Tachina canariensis","Thaumatomyia notata ","Thyreus histrionicus ","Tricimba humeralis ","Unidentified sp1 M_PL_012","Unidentified sp2 M_PL_012","Unidentified sp3 M_PL_012","Unidentified sp4 M_PL_012","Vanessa atalanta ","Vanessa cardui ","Vanessa indica "
"Adenocarpus foliosus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ageretina adenophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aichryson laxum",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anacyclus radiatus",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1
"Andryala pinnatifida",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Appolonias barbujana",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argyranthemum broussonetti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Carduus tenuiflorus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cedronella canariensis",0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
"Cistus monspeliensis",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Echium plantagineum",0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Erica arborea",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galactites tomentosa",0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
"Geranium canariense",0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Geranium robertianum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum grandifolium",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
