"","Anarta richardsoni","Boloria improba ","Bombus polaris","Boreellus atriceps","Colias hecla","Colias nastes ","Eupogonomyia probilofensis ","Pogonomyiodes segnis ","Protocalliphora sp1 M_PL_024","Rhamphomyia sp1 M_PL_024","Spilogona aesturium ","Spilogona almquistii ","Spilogona dorsata","Spilogona hurdiana ","Spilogona latilamina","Spilogona melanosoma","Spilogona projecta ","Spilogona sanctipauli"
"Arnica alpina",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
"Astragalus alpinus",0,0,15,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0
"Caltha palustris ",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3
"Cerastium alpinum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Dryas integrifolia",0,8,0,0,0,0,2,5,0,0,0,3,0,0,0,0,1,15
"Geum rossii ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Oxytropis arctica ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papaver radicatum",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Petasites frigidus ",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla vahliana ",0,0,0,3,0,0,7,1,1,0,0,5,2,0,5,1,0,19
"Taraxacum sp1 M_PL_024",0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,1
