"","Adoxia obscura","Agrotis ipsilon anieturma","Apis mellifera","Argirophenga sp1 M_PL_028","Argyrophenga antipodium","Arthracanthus obscuricollis","Austrocidaria similata","Avibrissina brevivalpis","Avibrissina isolata","Bombus hortotum","Bombus ruderatus","Bombus terrestris","Bothrophora lupina","Calcager apertum","Calliphora icela","Calliphora quadrimaculata","Calliphora quadrimaculata_1","Calliphora stygia","Calliphora vicina","Campylia nudarum","Chelaner antarcticus","Cyphon sp1 M_PL_028","Cyphon sp2 M_PL_028","Dasytes subcyaneus","Declana junctilinea","Declana niveata","Ephiphyrne undosata","Epiphryne xanthaspis","Eristalis tenax","Eucymatoge gobiata","Eudonia sabulosella","Eulalia sp1 M_PL_028","Evibrissa huttoni","Gelechia lithodes","Gracilicera setosa","Graphania disjungens","Graphania omoplaca","Graphania sequens","Helastia cineraria","Helastia semisignata","Helophilus antipodus","Helophilus hochstetteri","Heteria appendiculata","Heteria plebeia","Homodotis megaspilata","Hoplocneme sp1 M_PL_028","Hybopygia varia","Hydriomena deltoidata","Hydriomena rixata","Hylaeus agilis","Hylaeus relegatus","Hylaeus sp1 M_PL_028","Hymenoptera sp4 M_PL_028","Ischalis fortinata","Lasioglossum sordidum","Lasioglossum sp1 M_PL_028","Leioproctus boltonii","Leioproctus fulvescens","Leioproctus imitatus","Leioproctus maritimus","Leioproctus monticola","Leioproctus sp1 M_PL_028","Leioproctus sp2 M_PL_028","Leioproctus sp3 M_PL_028","Leioproctus sp4 M_PL_028","Leioproctus sp5 M_PL_028","Lepidomyia decessum","Lepidoptera sp3 M_PL_028","Lepidoptera sp8 M_PL_028","Leucania toroneura","Lucilia sericata","Lycaena boldenarium","Lycaena salustius","Mecyna flavidalis","Melangyna novaezelandiae","Melangyna ortas","Melangyna ortas_1","Melangyna sp1 M_PL_028","Mordella detracta","Musc. sp1 M_PL_028","Neotachina sp1 M_PL_028","Notoreas cataphyrrha","Occisor sp1 M_PL_028","Occisor versutus","Oreocalus hebe","Orocrambus crenaeus","Orocrambus flexuosellus","Orocrambus lectus","Pales aurea","Pales efferata","Pales nyctemeriana","Pales tecta","Pales usitata","Pareromene pyrsophanes","Pasiphila bilineolata","Pasiphila inductata","Pasiphila nereis","Pasiphila sandycias","Pasiphila sp1 M_PL_028","Pasiphila sp2 M_PL_028","Peremptor modica","Perrissina brunniceps","Philia nigrostigma","Plagiomyia turbidum","Procissio valida","Proscissio albiceps","Proscissio cana","Proscissio lateralis","Proscission sp1 M_PL_028","Protohystirica huttoni","Protohystricia alcis","Protohystricia huttoni","Pseudocoremia monacha","Pseudocoremia scariphota","Pseudofoenus pedunculatus","Pyronola laeta","Rictonis comma","Sawpogon proximus","Scaptia adrel","Scaptia brevipalpis","Scoparia minisculalis","Scoparia philerga","Scoparia rotuella","Scoparia submarginalis","Selenopalpus aciphyllae","Sestra flexata","Unidentified sp1 M_PL_028","Unidentified sp10 M_PL_028","Unidentified sp2 M_PL_028","Unidentified sp5 M_PL_028","Unidentified sp6 M_PL_028","Unidentified sp7 M_PL_028","Unidentified sp9 M_PL_028","Xylota montana","Zealandotachina nigrifemorata","Zealandotachina quadrivittata","Zealandotachina subtilis","Zealandotachina varipes","Zorion minutum"
"Achillea millefolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Aciphylla subflavellata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Brachyome sinclairii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carmichaelia angusta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassinia fulvida",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia gracilenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Celmisia spectabilis",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Cirsium arvense",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Corokia cotoneaster",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cytisus scoparius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
