"","Adoxia cheesemani","Adoxia obscura","Apis mellifera","Argirophenga sp1 M_PL_029","Asaphodes clarata","Asilis pilicomis","Austrocidaria similata","Avibrissina brevivalpis","Avibrissina isolata","Bombus terrestris","Calcager nudum","Calliphora icela","Calliphora quadrimaculata","Calliphora quadrimaculata_1","Calliphora stygia","Cheilosia captalis","Cheilosia fulvipes","Cheilosia sp1 M_PL_029","Chelaner antarcticus","Cyphon sp1 M_PL_029","Cyphon sp2 M_PL_029","Dasytes subcyaneus","Dasyuris anceps","Declana junctilinea","Eristalis tenax","Erythronychia aliena","Eudonia sabulosella","Eulalia sp1 M_PL_029","Gelechia lithodes","Gelophaula aenea","Gracilicera setosa","Graphania omoplaca","Helastia cineraria","Helophilus hochstetteri","Heteria appendiculata","Heteria atripes","Heteria plebeia","Homodotis megaspilata","Hoplocneme sp1 M_PL_029","Hydriomena deltoidata","Hylaeus relegatus","Hylaeus sp1 M_PL_029","Hymenoptera sp4 M_PL_029","Lasioglossum sordidum","Lasioglossum sp1 M_PL_029","Leioproctus boltonii","Leioproctus fulvescens","Leioproctus imitatus","Leioproctus maritimus","Leioproctus sp1 M_PL_029","Leioproctus sp2 M_PL_029","Leioproctus sp3 M_PL_029","Leioproctus sp4 M_PL_029","Leioproctus sp5 M_PL_029","Lepidomyia decessum","Lepidoptera sp6 M_PL_029","Lepidoptera sp9 M_PL_029","Lycaena boldenarium","Lycaena salustius","Mallochomacquartia setiventris","Medinella flavotemorata","Melangyna novaezelandiae","Melangyna ortas","Melangyna sp1 M_PL_029","Mordella detracta","Musc. sp1 M_PL_029","Neotachina obtusa","Neotachina sp1 M_PL_029","Notoreas anthracias","Notoreas cataphyrrha","Notoreas mechanitis","Occisor sp1 M_PL_029","Occisor versutus","Orocrambus crenaeus","Pales tecta","Pareromene pyrsophanes","Pasiphila inductata","Pasiphila nereis","Pasiphila sandycias","Pasiphila sp1 M_PL_029","Peremptor modica","Peremptor sp1 M_PL_029","Peristoreus sp1 M_PL_029","Perrissina brunniceps","Plagiomyia turbidum","Proscissio albiceps","Proscissio cana","Proscissio kumarensis","Proscissio lateralis","Proscission sp1 M_PL_029","Protohystirica huttoni","Protohystricia huttoni","Pseudofoenus pedunculatus","Rhopalomerus sp1 M_PL_029","Rictonis comma","Rygmodus cyaneus","Scaptia adrel","Scaptia brevipalpis","Scoparia minisculalis","Scoparia philerga","Scoparia rotuella","Scoparia submarginalis","Sestra flexata","Unidentified sp1 M_PL_029","Unidentified sp10 M_PL_029","Unidentified sp2 M_PL_029","Unidentified sp3 M_PL_029","Unidentified sp5 M_PL_029","Unidentified sp7 M_PL_029","Unidentified sp8 M_PL_029","Veluta albicincta","Xenorhynchia peeli","Xylota montana","Zealandotachina nigrifemorata","Zealandotachina quadrivittata","Zealandotachina subtilis","Zealandotachina varipes","Zorion minutum"
"Aciphylla scott-thompsoni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anisotome aromatica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anisotome flexuosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachycome sinlcairii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassinia vauvilliersii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Celmisia discolor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Celmisia gracilenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Celmisia laricifolia",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia lyalii",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celmisia petiolata",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
