"","Adelpha abyla","Agapostemon sp1 M_PL_040","Aguna asander jasper","Anolis grahami","Anolis sagrei","Apis mellifera","Atlantea pantoni","Camponotus hannani","Camponotus subdepilis","Centris sp1 M_PL_040","Centris sp2 M_PL_040","Coereba flaveola ","Conotelus obscurus","Crematogaster steinheili","Dione vanillae insularis","Diptera sp1 M_PL_040","Dryas iulia delila","Euglossa jamaicensis","Euneornis campestris","Eurytides marcellinus","Heliconius charitonius simulator","Marpesia chiron","Mellisuga minima","Nesopsar nigerrimus","Papilio thersites","Paragymnetis lanius","Paraphrissopoda chrysostoma","Polistes sp1 M_PL_040","Sphex jamaicensis","Trochilus polytmus polytmus","Unidentified sp1 M_PL_040","Unidentified sp11 M_PL_040","Unidentified sp12 M_PL_040","Unidentified sp2 M_PL_040","Unidentified sp3 M_PL_040","Unidentified sp4 M_PL_040","Unidentified sp5 M_PL_040","Unidentified sp6 M_PL_040","Unidentified sp7 M_PL_040","Unidentified sp8 M_PL_040","Unidentified sp9 M_PL_040","Wasmannia auropunctata","Xylocopa sp1 M_PL_040"
"Aechmea paniculigera",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blakea trinervia",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byrsonima sp1 M_PL_040",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0
"Dendropanax arboreus ",3,0,14,0,0,44,2,0,0,0,0,2,0,0,2,0,43,0,0,2,38,4,12,0,11,0,0,0,2,11,0,0,0,0,10,57,0,1,10,0,0,0,0
"Dendropanax sp1 M_PL_040",0,0,1,11,0,22,0,0,0,14,0,1,0,0,0,0,0,0,0,7,0,3,0,0,0,1,3,0,50,0,0,0,0,0,15,10,1,0,1,0,0,0,0
"Guarea swartzii",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Impatiens walleriana",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,14,0
"Miconia sp1 M_PL_040",0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27
"Nectandra coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Passiflora sp1 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Petiveria sp1 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0
"Pilea sp1 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
"Pilea sp2 M_PL_040",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portlandia grandiflora",0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,33,0
"Psidium montanum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"Spermacoce assurgens",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0
"Tradescantia zebrina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Unidentified sp13 M_PL_040",1,0,0,0,0,6,0,2,0,0,4,0,0,6,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,1
"Unidentified sp14 M_PL_040",0,0,0,0,0,0,0,49,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0
"Unidentified sp15 M_PL_040",0,5,0,0,0,1,0,2,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Unidentified sp16 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp17 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"Unidentified sp18 M_PL_040",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Unidentified sp19 M_PL_040",0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp20 M_PL_040",0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp21 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
"Unidentified sp22 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Unidentified sp23 M_PL_040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
"Wallenia laurifolia",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
