"","Angelica sylvestris","Pimpinella major","Filipendula ulmaria","Cirsium oleraceum","Centaurea jacea","Cirsium vulgare","Polygonum amphibium","Stellaria graminea","Mentha aquatica","Valeriana officinalis","Lotus uliginosus","Anthriscus sylvestris","Myosotis palustris","Potentilla erecta","Trifolium repens","Ranunculus acris","Silene dioica","Galium palustre","Lythrum salicaria","Ranunculus flammula","Lychnis flos-cuculi","Veronica beccabunga","Crepis paludosa","Lathyrus pratensis","Trifolium pratense","Veronica chamaedrys","Geranium robertianum","Lysimachia vulgaris","Trifolium campestre","Vicia cracca","Vicia sepium","Lathyrus montanus","Cerastium fontanum","Geum rivale","Stellaria palustris","Ajuga reptans","Veronica serpyllifolia"
"Episyrphus balteatus",1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0
"Platycheirus cyaneus",0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0
"Meligethes aeneus",1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
"Aphantopus hyperantus",1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Eristalis interrupta",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieris napa",0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Bombus agrorum",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
"Empis aestiva",0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Cateretes pedicularius",0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"Bombus lucorum",1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Holoclera nigripennis",1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
