"","Amegilla canifrons","Amegilla quadrifasciata","Amegilla sp1 M_PL_050","Anthophora alluardii","Anthophora orotavae","Apis mellifera","Camponotus rufoglaucus","Coleoptera sp15 M_PL_050","Diptera sp18 M_PL_050","Diptera sp19 M_PL_050","Diptera sp20 M_PL_050","Diptera sp21 M_PL_050","Diptera sp4 M_PL_050","Diptera sp7 M_PL_050","Eucera gracilipes","Gallotia galloti","Hylaeus sp1 M_PL_050","Hymenoptera sp10 M_PL_050","Hymenoptera sp13 M_PL_050","Hymenoptera sp14 M_PL_050","Hymenoptera sp9 M_PL_050","Lasioglossum evylaeus","Lucilia sp1 M_PL_050","Sphecodes marginatus ","Thysanoptera sp17 M_PL_050","Unidentified sp1 M_PL_050","Unidentified sp11 M_PL_050","Unidentified sp12 M_PL_050","Unidentified sp16 M_PL_050","Unidentified sp2 M_PL_050","Unidentified sp22 M_PL_050","Unidentified sp3 M_PL_050","Unidentified sp5 M_PL_050","Unidentified sp6 M_PL_050","Unidentified sp8 M_PL_050"
"Argyranthemum frutescencs",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1
"Ceballosia fruticosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Convolvulus sp1 M_PL_050",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
"Echium aculeatum",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium bonnetii",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphorbia canariensis",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Euphorbia obtusifolia",0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
"Fagonia albiflora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula buchii",1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lotus sp1 M_PL_050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Noechamaelea pulverulenta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parolinea intermedia",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
"Periploca laevigata",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Plocama pendula",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
