"","Amegilla femorata","Andrena sp1 M_PL_058","Anthidium sp1 M_PL_058","Anthidium sticticum","Anthophora sp1 M_PL_058","Apis mellifera","Bombus terrestris","Callophrys rubi","Camponotus aethiops","Ceratina cucurbitina","Cerceris sp1 M_PL_058","Colletes sp1 M_PL_058","Conophorus virescens","Criptocephalus sp1 M_PL_058","Eucera sp1 M_PL_058","Halictus gemmeus","Halictus pyrenaicus","Halictus sp1 M_PL_058","Halyctus sp1 M_PL_058","Helorus coruscus","Hylaeus nigritus","Hylaeus sp2 M_PL_058","Hylaeus variegatus","Lasioglossum sp1 M_PL_058","Lassiopogon sp1 M_PL_058","Megachile sp1 M_PL_058","Megachile sp2 M_PL_058","Mordella bipunctata","Mordellistena pumila","Myrabilis quadripunctata","Nomada sp1 M_PL_058","Oedemera barbara","Oedemera flavipes","Oedemera lurida","Oedemera nobilis","Osmia sp1 M_PL_058","Oxythyrea funesta ","Papilion machaon","Pieris rapae ","Plagiolepsis pigmaea","Polistes gallicum","Psilothrix sp1 M_PL_058","Pyronia tithonus ","Scolia sp1 M_PL_058","Sphaerophoria sp1 M_PL_058","Sphecodes sp1 M_PL_058","Stenopterus rufus","Trichodes apiarius","Unidentified sp35 M_PL_058","Unidentified sp36 M_PL_058","Unidentified sp37 M_PL_058","Unidentified sp38 M_PL_058","Unidentified sp39 M_PL_058","Unidentified sp40 M_PL_058","Unidentified sp41 M_PL_058","Unidentified sp42 M_PL_058","Unidentified sp43 M_PL_058","Unidentified sp44 M_PL_058","Unidentified sp45 M_PL_058","Unidentified sp46 M_PL_058","Unidentified sp47 M_PL_058","Unidentified sp48 M_PL_058","Unidentified sp49 M_PL_058","Unidentified sp50 M_PL_058","Unidentified sp51 M_PL_058","Unidentified sp52 M_PL_058","Unidentified sp53 M_PL_058","Unidentified sp54 M_PL_058","Unidentified sp55 M_PL_058","Unidentified sp56 M_PL_058","Unidentified sp57 M_PL_058","Unidentified sp58 M_PL_058","Unidentified sp59 M_PL_058","Unidentified sp60 M_PL_058","Unidentified sp61 M_PL_058","Unidentified sp62 M_PL_058","Unidentified sp63 M_PL_058","Unidentified sp64 M_PL_058","Vanesa atlantica","Xylocopa sp1 M_PL_058","Zygaena sp1 M_PL_058"
"Aetheorrina bulbosa",0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allium ampeloprasum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alyssum maritimum",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brassica fruticulosa",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carpobrotus sp1 M_PL_058",0,4,0,5,0,7,14,0,0,0,0,0,0,3,1,0,0,1,3,0,0,0,0,0,0,0,1,1,7,0,0,0,3,21,2,2,20,0,0,2,0,22,0,0,0,0,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cistus albidus",0,15,0,8,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,2,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus monspeliensis",1,19,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,0,0,0,0,3,1,0,0,1,34,0,0,14,0,0,3,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",1,17,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,4,1,14,0,0,4,0,7,0,0,0,0,0,0,2,0,3,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus althaeoides",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus carota carota",0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,4,0,3,0,0,0,19,44,3,0,3,3,3,0,0,0,0,0,0,0,1,0,1,0,0,1,4,29,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
