"","Apis mellifera","Brachymyrmex sp1 M_PL_060","Ceratitis roas","Chaetocnema sp1 M_PL_060","Chironomidae sp1 M_PL_060","Chrysomya megacephala ","Cicadellidae sp1 M_PL_060","Dysauxes florida","Episyrphus sp1 M_PL_060","Eristalinus flaveolus","Fannia pusio ","Henotesia narcissus","Homoneura quadrivittata ","Ischiodon aegyptius ","Limnophora quaterna ","Lygistorrhina sp1 M_PL_060","Melanostoma annulipes","Miridae sp1 M_PL_060","Musca domestica","Nacoleia sp1 M_PL_060","Nyctemera insulare","Ophyra capensis ","Orchisia costata ","Ornidia obesa","Orthellia albigena ","Pachycerina crinicornis ","Pelecophora intemipta","Psyllidae sp1 M_PL_060","Sapromyza sp1 M_PL_060","Scirtidae sp1 M_PL_060","Scirtidae sp2 M_PL_060","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta nigrofemorata","Tarundia servillei","Technomyrmex albipes ","Tettigoniidae sp1 M_PL_060","Zosterops mauritianus"
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,9,0,8,1,1,0,0,0,0,2,1,0,0,0,0,1,3,5,0,0,3,0,2
"Claoxylon linostachys",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"Croton fothergillifolius",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,9,1,0,0,0,1,0,15,0,1,0,0,0,7,2,0,1,0,0,0,0
"Erythroxylum macrocarpum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,2
"Geniostoma borbonicum",0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,1,0,2,4,2,0,1,0,2,15,0,0,0,0,1,0,0,8,0,1,0,0,0
"Molinaea alternifolia",0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"Psiadia terebinthina",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,1,0,0,1,1,0,0,0,0,0,11,1,0,0,0,0,0,0
"Roussea simplex ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideroxylon cinereum",31,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,2,0,0,0,0,0,0,7,0,0,1,0,0,1,1,3,0,0,0,0,2
"Toddalia asiatica",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,4,0,0,0,1,0,5,1,0,0,0,0,0,0
