"","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_063","Cephonodes trochilus","Chaetocnema sp1 M_PL_063","Chrysomya megacephala ","Cryptinae sp1 M_PL_063","Dioxyna sororcula ","Dysauxes florida","Episyrphus sp1 M_PL_063","Eristalinus flaveolus","Fannia pusio ","Graphomya maculata","Homoneura sp1 M_PL_063","Hydrillodes sp1 M_PL_063","Ischiodon aegyptius ","Lecithoceridae sp1 M_PL_063","Leptotes pirithous","Lygistorrhina sp1 M_PL_063","Macroglossum milvus","Mauritiborium undulatus ","Melanostoma bituberculatum ","Musca domestica","Nacoleia sp1 M_PL_063","Nacoleia sp2 M_PL_063","Ophyra capensis ","Ornidia obesa","Orthellia albigena ","Pachycerina crinicornis ","Panara naso","Phelsuma cepediana","Phorinia sp1 M_PL_063","Polistes hebraeus","Psilopa iceryae ","Remigia frugalis ","Sarcophaga arno ","Scatopsidae sp1 M_PL_063","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta nigrofemorata","Syritta sp1 M_PL_063","Tarundia servillei","Technomyrmex albipes ","Trichoplusia indicator ","Zosterops mauritianus"
"Agauria salicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Antidesma madagascariense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
"Aphloia theiformis",0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,12,0,1,0,1,0,1,2,0,3,4,0,0,0,0,29,0,1,0,0,0,2,0,0
"Bertiera zaluzania ",1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"Chassalia coriacea",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Claoxylon linostachys",3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
"Coffea mauritiana",0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Croton fothergillifolius",2,0,7,0,0,0,0,3,0,0,2,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,1,0,0,1,0,8,0,0
"Dracaena reflexa",2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0
"Erythroxylum macrocarpum",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Flagellaria indica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Molinaea alternifolia",0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,6,5,3,1,8,0,0,14,0,1,1,0,0,0,0,0,13,3,0,0,0,0,9,0,0
"Pandanus wiehii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyscias mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",0,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Roussea simplex ",0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"Sideroxylon cinereum",0,14,0,0,0,7,0,0,0,0,0,15,0,0,0,3,0,0,7,0,0,0,3,0,0,6,1,1,0,0,0,0,0,0,0,3,0,28,3,0,0,0,0,0,0,0
"Stillingia lineata",0,0,2,0,15,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Syzygium venosum",0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0
"Toddalia asiatica",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
