"","Acopsis viridicans","Ahasverus advena ","Allograpta nasuta","Apis mellifera","Bactrocera cucurbitae","Brachymyrmex sp1 M_PL_064","Calcidoidae sp1 M_PL_064","Chaetocnema sp1 M_PL_064","Chrysomya megacephala ","Condica capensis","Dioxyna sororcula ","Drosophila sp1 M_PL_064","Dysauxes florida","Eilema squalida","Episyrphus sp1 M_PL_064","Eristalinus flaveolus","Eumolpinae sp1 M_PL_064","Fannia pusio ","Henotesia narcissus","Homoneura sp1 M_PL_064","Ischiodon aegyptius ","Lecithoceridae sp1 M_PL_064","Lecithoceridae sp2 M_PL_064","Limoniidae sp1 M_PL_064","Lygaeidae sp1 M_PL_064","Lygistorrhina sp1 M_PL_064","Mauritiborium undulatus ","Melanostoma bituberculatum ","Miridae sp1 M_PL_064","Musca domestica","Mythimna sp1 M_PL_064","Nacoleia sp1 M_PL_064","Nacoleia sp2 M_PL_064","Ornidia obesa","Orthellia albigena ","Pachycerina crinicornis ","Panara naso","Paragus borbonicus","Pelecophora intemipta","Pheidole megacephala","Polistes hebraeus","Psilopa iceryae ","Psyllidae sp1 M_PL_064","Sapromyza sp1 M_PL_064","Sarcophaga arno ","Spilogona sp1 M_PL_064","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta sp1 M_PL_064","Technomyrmex albipes ","Trichoplusia indicator ","Zaprionus vittiger","Zosterops mauritianus"
"Agauria salicifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antidesma madagascariense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
"Antirhea borbonica",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bertiera zaluzania ",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"Chassalia coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia petrinensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Claoxylon linostachys",2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coffea macrocarpa",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coffea mauritiana",0,0,2,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
"Cordemoya integrifolia",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
"Doratoxylon apetalum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"Dracaena reflexa",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0
