"","Ahasverus advena ","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_068","Cephonodes trochilus","Cerambycidae sp1 M_PL_068","Chaetocnema sp1 M_PL_068","Cheloninae sp1 M_PL_068","Chrysomya megacephala ","Drosophila sp1 M_PL_068","Episyrphus sp1 M_PL_068","Eristalinus flaveolus","Graphomya maculata","Henotesia narcissus","Hyadina sp1 M_PL_068","Hyperaspis hottentota","Ischiodon aegyptius ","Macroglossum milvus","Melanostoma annulipes","Musca domestica","Nacoleia sp1 M_PL_068","Nacoleia sp2 M_PL_068","Orthellia albigena ","Pachycerina crinicornis ","Panara naso","Papillio manlius","Paragus borbonicus","Pelecophora intemipta","Phelsuma cepediana","Phorinia sp1 M_PL_068","Polistes hebraeus","Sapromyza sp1 M_PL_068","Sarcophaga arno ","Scolia oryctophaga","Siphona sp1 M_PL_068","Stomorhina lunata","Technomyrmex albipes ","Unidentified sp1 M_PL_068","Villa unifasciata","Zosterops mauritianus"
"Antidesma madagascariense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,4,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,4,27,0,0,0
"Calophyllum eputamen",0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Casearia coriacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Diospyros revaughanii",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Embelia angustifolia",0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Gaertnera sp1 M_PL_068",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Memecylon ovatifolium",0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0
"Olea lancea",2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pittosporum senacia",0,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,50,2,4,0
"Stillingia lineata",0,2,0,0,0,0,0,0,6,0,0,1,4,0,0,1,0,0,0,4,0,0,1,2,0,0,2,0,0,1,0,1,0,0,2,0,5,0,0,0
"Syzygium coriaceum",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0
"Tabernaemontana persicarifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turraea rigida",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Warneckea trinervis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xylopia lamarckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
