"","Allograpta sp1 M_PL_069","Apis mellifera","Brachymyrmex sp1 M_PL_069","Chrysomya megacephala ","Conocephalus sp1 M_PL_069","Dolichopodidae sp1 M_PL_069","Graphomya maculata","Hydrillodes sp1 M_PL_069","Macroglossum milvus","Melanostoma annulipes","Musca domestica","Nacoleia sp1 M_PL_069","Panara naso","Paragus borbonicus","Phelsuma cepediana","Phorinia sp1 M_PL_069","Pteromalidae sp1 M_PL_069","Scopariinae sp1 M_PL_069","Stomorhina lunata","Stomoxys calcitrans","Strictopterinae sp1 M_PL_069","Syritta sp1 M_PL_069","Technomyrmex albipes ","Trirhithrum sp1 M_PL_069","Villa unifasciata"
"Diospyros revaughanii",1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Embelia angustifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Euodia obtusifolia",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_069",0,3,0,1,0,0,0,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1
"Memecylon ovatifolium",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrostria fasciculata",0,25,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"Stillingia lineata",0,0,0,3,0,2,1,0,0,0,7,0,0,3,0,4,1,0,1,1,0,0,0,2,0
"Syzygium commersonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Syzygium coriaceum",0,0,6,8,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,3,0,0
"Syzygium petrinese",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Tabernaemontana persicarifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Tristhema mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Xyris sp1 M_PL_069",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
