"","Apis mellifera","Chrysomya megacephala ","Episyrphus sp1 M_PL_071","Eristalinus flaveolus","Graphomya maculata","Lecithoceridae sp1 M_PL_071","Lygistorrhina sp1 M_PL_071","Musca domestica","Nacoleia sp1 M_PL_071","Ophyra capensis ","Ornidia obesa","Pachycerina crinicornis ","Paleorhiza sp1 M_PL_071","Paragus borbonicus","Phelsuma cepediana","Phorinia sp1 M_PL_071","Polistes hebraeus","Scolia carniflex","Sepsis lateralis ","Simulium sp1 M_PL_071","Simulium sp2 M_PL_071","Stomorhina lunata","Syritta sp1 M_PL_071","Trirhithrum sp1 M_PL_071","Zizeeria knysa","Zosterops mauritianus"
"Aphloia theiformis",3,1,0,2,0,0,0,2,0,2,1,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0
"Badula insularis",1,1,0,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,9,0,1,1,0
"Calophyllum eputamen",3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"Diospyros revaughanii",13,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pandanus rigidifolius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
"Pleurostylia leucocarpa ",0,0,0,0,0,0,2,3,0,1,0,0,0,5,0,0,0,0,0,1,0,1,2,1,0,0
"Stillingia lineata",0,4,0,0,3,0,0,5,0,4,0,1,0,0,0,0,0,0,4,0,1,0,0,3,0,0
"Syzygium glomeratum",0,7,3,3,0,1,0,6,0,0,0,0,0,1,0,5,0,0,0,0,0,4,0,0,0,0
"Syzygium petrinese",5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,0,0,0,0,0,0,0,0,0
"Turraea rigida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Xyris sp1 M_PL_071",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
