"","Agathidinae sp1 M_PL_075","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_075","Cerambycidae sp1 M_PL_075","Cerambycidae sp2 M_PL_075","Chaetocnema sp1 M_PL_075","Chrysomya megacephala ","Dioxyna sororcula ","Dysauxes florida","Episyrphus sp1 M_PL_075","Eristalinus flaveolus","Eumolpinae sp1 M_PL_075","Eumolpinae sp2 M_PL_075","Fannia pusio ","Gelechioidea sp1 M_PL_075","Henotesia narcissus","Ischiodon aegyptius ","Leptotes pirithous","Lygistorrhina sp1 M_PL_075","Mauritiborium undulatus ","Melanostoma annulipes","Melanostoma bituberculatum ","Musca domestica","Nacoleia sp1 M_PL_075","Nacoleia sp2 M_PL_075","Ophyra capensis ","Ornidia obesa","Pachycerina crinicornis ","Panara naso","Paragus borbonicus","Phorinia sp1 M_PL_075","Polistes hebraeus","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta sp1 M_PL_075","Technomyrmex albipes ","Villa unifasciata"
"Antirhea borbonica",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aphloia theiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0
"Bertiera zaluzania ",0,2,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,0
"Chassalia coriacea",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
"Claoxylon linostachys",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Croton fothergillifolius",0,0,0,0,0,1,10,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,2,0,0,0,1,0
"Dracaena reflexa",0,6,16,0,0,0,0,3,0,3,1,2,0,0,0,0,1,6,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,4,0,1,0,0,0
"Erythroxylum macrocarpum",0,3,0,0,0,0,9,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,6,0,0,0,0,1
"Faujasiopsis flexuosa",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Flagellaria indica",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Homalanthus populifolius",0,1,0,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Molinaea alternifolia",1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,6,0,0,0,1,0
"Myonima violacea",0,1,5,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,13,0
"Olea lancea",0,1,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Psiadia terebinthina",0,0,0,0,1,0,4,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,0,0,0,0,0
"Psidium cattleianum",0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Stillingia lineata",0,5,0,0,1,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,10,0,3,0,0,0,0,2,0,0,1,4,0
