"","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_077","Cerambycidae sp1 M_PL_077","Chaetocnema sp1 M_PL_077","Chrysomya megacephala ","Cixiidae sp1 M_PL_077","Dysauxes florida","Eristalinus flaveolus","Eumolpinae sp1 M_PL_077","Fannia pusio ","Ischiodon aegyptius ","Lygaeidae sp1 M_PL_077","Lygistorrhina sp1 M_PL_077","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_077","Musca domestica","Nacoleia sp1 M_PL_077","Nitidulidae sp1 M_PL_077","Ornidia obesa","Pachycerina crinicornis ","Panara naso","Polistes hebraeus","Sarcophaga arno ","Stomorhina lunata","Syritta nigrofemorata","Technomyrmex albipes ","Villa unifasciata"
"Aphloia theiformis",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badula platiphylla",0,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
"Coffea macrocarpa",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0
"Coffea mauritiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Faujasiopsis flexuosa",0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gaertnera sp1 M_PL_077",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"Grangeria borbonica",0,16,0,0,16,1,0,8,0,4,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0
"Harungana madagascariensis",0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"Helichrysum proteoides",0,2,0,0,4,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,2,1,1,3,0,0
"Homalanthus populifolius",0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myonima violacea",0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Olea lancea",1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,0,0
"Psidium cattleianum",0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideroxylon puberulum",0,60,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,2,1,0,3,0,0,0
"Stillingia lineata",0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wikstroemia indica",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
