"","Apis mellifera","Cerambycidae sp1 M_PL_078","Chaetocnema sp1 M_PL_078","Chrysomya megacephala ","Dysauxes florida","Lygaeidae sp1 M_PL_078","Musca domestica","Pachycerina crinicornis ","Pelecophora intemipta","Scolia carniflex","Stomorhina lunata","Technomyrmex albipes ","Villa unifasciata"
"Antidesma madagascariense",0,0,2,0,0,0,0,1,0,0,0,2,1
"Badula platiphylla",0,0,1,0,0,0,0,0,0,0,0,0,0
"Eugenia orbiculata",0,0,0,0,0,0,0,0,0,0,0,0,1
"Euodia chapelieri",0,0,1,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",0,0,3,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_078",0,0,0,0,0,0,0,0,0,0,0,0,1
"Grangeria borbonica",3,0,2,0,0,0,1,0,0,0,1,0,0
"Helichrysum proteoides",0,0,2,2,1,0,3,1,0,0,0,0,0
"Homalanthus populifolius",0,0,2,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",2,0,2,0,0,0,0,1,1,0,0,0,0
"Olea lancea",0,0,3,0,0,0,0,0,0,0,0,0,1
"Phyllanthus phillyreifolius",0,0,2,0,0,0,0,0,0,0,0,0,0
"Psiadia terebinthina",8,2,0,0,0,1,0,0,0,1,1,1,3
"Psidium cattleianum",4,0,0,0,0,0,0,0,0,0,0,0,6
"Sideroxylon puberulum",24,0,0,1,0,0,0,0,0,0,0,0,0
"Stillingia lineata",0,0,3,0,0,0,0,6,0,0,0,0,0
"Warneckea trinervis",3,0,0,0,0,0,0,0,0,0,0,0,0
"Wikstroemia indica",0,0,2,0,0,0,0,0,0,0,0,0,0
