"","Ahasverus advena ","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_079","Chaetocnema sp1 M_PL_079","Chrysomya megacephala ","Dysauxes florida","Miridae sp1 M_PL_079","Nacoleia sp1 M_PL_079","Orthellia albigena ","Pachycerina crinicornis ","Phalanta phalantha","Phorinia sp1 M_PL_079","Polistes hebraeus","Stomorhina lunata","Syritta nigrofemorata","Technomyrmex albipes ","Villa unifasciata"
"Antidesma madagascariense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"Euodia obtusifolia",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_079",1,0,1,0,0,0,0,0,9,0,0,0,0,2,0,0,0,2
"Labourdonnaisia callophylloides",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Psathura terniflora",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Psiadia terebinthina",1,1,2,0,7,0,2,1,0,0,0,0,0,0,1,2,0,2
"Psidium cattleianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Stillingia lineata",5,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,3
"Syzygium coriaceum",0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,4,0
"Tabernaemontana persicarifolia",0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
"Tristhema mauritiana",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
