"","Ahasverus advena ","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_081","Chaetocnema sp1 M_PL_081","Cheloninae sp1 M_PL_081","Chrysomya megacephala ","Dysauxes florida","Episyrphus sp1 M_PL_081","Fannia pusio ","Lecithoceridae sp1 M_PL_081","Mauritiborium undulatus ","Melanostoma annulipes","Melanostoma bituberculatum ","Mordellidae sp1 M_PL_081","Musca domestica","Nacoleia sp1 M_PL_081","Nacoleia sp2 M_PL_081","Pachycerina crinicornis ","Paragus borbonicus","Pelecophora intemipta","Phorinia sp1 M_PL_081","Polistes hebraeus","Sarcophaga arno ","Stomorhina lunata","Stomoxys calcitrans","Syritta nigrofemorata","Syritta sp1 M_PL_081","Technomyrmex albipes ","Thysanoplusia orichalcea","Villa unifasciata"
"Aphloia theiformis",0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,6,1,0,0,1,0,1
"Cordemoya integrifolia",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton fothergillifolius",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton grangeroides",0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_081",0,1,5,0,1,0,3,0,2,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Grangeria borbonica",1,1,7,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labourdonnaisia callophylloides",0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",0,1,0,0,14,0,1,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"Smilax anceps",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stillingia lineata",2,1,0,0,24,0,13,0,0,1,0,1,0,0,1,17,0,0,1,1,1,5,0,1,0,0,2,1,4,0,2
"Syzygium coriaceum",0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
