"","Allograpta nasuta","Apis mellifera","Brachymyrmex sp1 M_PL_082","Chaetocnema sp1 M_PL_082","Chrysomya megacephala ","Dysauxes florida","Episyrphus sp1 M_PL_082","Eristalinus flaveolus","Hippotion eson","Leptotes pirithous","Lygaeidae sp1 M_PL_082","Macroglossum milvus","Melanostoma annulipes","Mordellidae sp1 M_PL_082","Musca domestica","Nacoleia sp1 M_PL_082","Ornidia obesa","Orthellia albigena ","Panara naso","Paragus borbonicus","Phorinia sp1 M_PL_082","Sarcophaga arno ","Stomorhina lunata","Stomoxys calcitrans","Syritta sp1 M_PL_082","Technomyrmex albipes ","Villa unifasciata"
"Aphloia theiformis",0,5,2,2,1,0,0,4,0,0,1,1,2,1,8,0,0,0,3,0,0,0,2,0,0,4,3
"Casearia coriacea",0,12,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Cordemoya integrifolia",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croton grangeroides",0,0,0,5,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Erythroxylum macrocarpum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera sp1 M_PL_082",0,2,0,4,0,0,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0
"Labourdonnaisia callophylloides",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Molinaea macrantha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"Phyllanthus phillyreifolius",0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
"Stillingia lineata",1,0,0,0,7,0,0,2,0,1,0,0,0,0,17,0,0,1,0,2,1,1,0,0,1,0,0
"Syzygium coriaceum",0,0,16,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Syzygium petrinese",0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
