"","Apis mellifera","Brachymyrmex sp1 M_PL_083","Chaetocnema sp1 M_PL_083","Chrysomya megacephala ","Dysauxes florida","Eristalinus flaveolus","Fannia pusio ","Macroglossum milvus","Musca confiscata","Musca domestica","Nacoleia sp1 M_PL_083","Ophyra capensis ","Ornidia obesa","Orthellia albigena ","Paragus borbonicus","Pheidole megacephala","Phelsuma cepediana","Polistes hebraeus","Sapromyza sp1 M_PL_083","Sarcophaga arno ","Simulium sp1 M_PL_083","Stomorhina lunata","Syritta sp1 M_PL_083","Technomyrmex albipes "
"Aphloia theiformis",0,0,0,1,0,3,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,1
"Badula insularis",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Calophyllum eputamen",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Croton grangeroides",0,0,3,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"Diospyros revaughanii",5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Embelia angustifolia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Molinaea macrantha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Phyllanthus phillyreifolius",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,8
"Psiadia terebinthina",0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Psidium cattleianum",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Rubus alcefolius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Stillingia lineata",0,0,1,3,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"Syzygium petrinese",4,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Tabernaemontana persicarifolia",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
