"","Agrius convolvuli","Apis mellifera","Diptera sp2 M_PL_103","Forcipomyia sp1 M_PL_103","Hemipyrellia germana","Lasioglossum mahense","Lygistorrhina sp1 M_PL_103","Nectarinia dussumieri","Ornidia obesa","Pachycerina seychellensis","Phelsuma sp1 M_PL_103","Physiphoa azurea ","Unidentified sp1 M_PL_103","Unidentified sp3 M_PL_103"
"Aphloia theiformis",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Craterispermum microdon",0,12,0,0,0,6,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,0,0,0,0,0,0,0,1,1,0,0,0,1
"Erythroxylum sechellarum",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Gastonia crassa",0,1,0,0,2,3,0,12,0,0,5,1,0,0
"Glionnetia sericea",5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",0,1,0,0,0,15,0,0,0,0,0,0,0,0
"Paragenipa wrightii",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Psychotria pervillei",0,13,0,0,0,0,0,2,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,7,4,0,0,4,0,0,0,1,0,1,0
