"","Apis mellifera","Cratopus aurostriatus","Diptera sp1 M_PL_105","Eristalinus vicarians","Forcipomyia sp1 M_PL_105","Hemipyrellia germana","Hymenoptera sp4 M_PL_105","Lasioglossum mahense","Lygistorrhina sp1 M_PL_105","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Phelsuma sp1 M_PL_105","Rhiparida seychellensis","Simosyrphus aegyptius","Unidentified sp2 M_PL_105","Unidentified sp3 M_PL_105","Xylocopa caffra"
"Aphloia theiformis",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Dillenia ferruginea",16,2,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,1
"Erythroxylum sechellarum",14,0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0
"Excoecaria benthiamiana",0,0,0,0,1,0,5,0,11,0,0,0,0,0,1,0,0,0
"Memecylon eleagni",3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",2,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0
"Psychotria pervillei",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,12,2,0
"Soulamea terminaloides",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Syzygium wrightii",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
