"","Apis mellifera","Dichaetomyia fasciculifera","Diptera sp1 M_PL_107","Diptera sp4 M_PL_107","Hemipyrellia germana","Hemipyrellia sp1 M_PL_107","Lasioglossum mahense","Lygistorrhina sp1 M_PL_107","Mabuya sechellensis","Melanostoma annulipes","Nectarinia dussumieri","Neophyllomyza approximatonervis","Phelsuma sp1 M_PL_107","Rhiparida seychellensis","Scaptodrosophila sp1 M_PL_107","Tricimba seychellensis","Unidentified sp2 M_PL_107","Unidentified sp3 M_PL_107"
"Craterispermum microdon",15,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",11,0,0,0,3,2,6,0,0,0,0,0,0,2,0,0,1,0
"Diospyros seychellarum",1,0,0,0,0,0,7,3,0,0,0,0,0,3,0,1,0,1
"Erythroxylum sechellarum",3,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Excoecaria benthiamiana",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Memecylon eleagni",5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",29,0,0,0,1,0,30,0,0,0,0,6,0,0,0,4,0,2
"Northea hornei",19,1,0,0,2,0,0,0,2,1,3,0,2,1,2,0,0,0
"Paragenipa wrightii",5,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"Soulamea terminaloides",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1
"Syzygium wrightii",0,0,0,0,1,0,1,0,0,0,13,0,3,0,0,0,0,0
