"","Apis mellifera","Cratopus aurostriatus","Diptera sp1 M_PL_121","Forcipomyia litoraurea","Forcipomyia sp1 M_PL_121","Hemipyrellia germana","Lasioglossum mahense","Lygistorrhina sp1 M_PL_121","Nectarinia dussumieri","Neophyllomyza approximatonervis","Ornidia obesa","Pachycerina seychellensis","Phelsuma sp1 M_PL_121","Polistes olivaceus","Rhiparida seychellensis","Simosyrphus aegyptius","Unidentified sp2 M_PL_121","Unidentified sp3 M_PL_121","Unidentified sp4 M_PL_121","Unidentified sp5 M_PL_121","Unidentified sp6 M_PL_121","Unidentified sp7 M_PL_121","Xylocopa caffra"
"Campnosperma seychellarum",0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Chrysobalanus icaco",17,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",4,0,0,0,0,1,7,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1
"Erythroxylum sechellarum",9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"Memecylon eleagni",14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Nephrosperma vanhoutteanum",13,1,0,0,0,1,10,1,0,3,0,0,1,1,5,0,30,0,0,1,0,0,0
"Northea hornei",8,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,4,1,0,1,0
"Psychotria pervillei",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0
