,Amazilia versicolor,Clytolaema rubricauda,Eupetomena macroura,Florisuga fusca,Leucochloris albicollis,Lophornis chalybeus,Phaethornis eurynome,Stephanoxis lalandi,Thalurania glaucopis
Aechmea distichantha,0,1,0,0,0,0,15,0,21
Aechmea gamosepala,0,6,0,0,0,0,18,2,95
Aechmea nudicaulis,0,15,0,0,0,0,1,0,6
Aechmea sp1 M_PL_063,0,0,0,0,0,0,12,0,24
Aechmea vanhoutteana,0,0,0,0,0,0,95,0,132
Alstroemeria inodora,0,0,0,0,2,0,30,18,0
Aphelandra colorata,0,0,0,0,0,0,18,0,0
Aphelandra longiflora,0,0,0,0,0,0,31,0,0
Besleria longimucronata,0,0,0,0,0,0,9,0,19
Billbergia amoena,0,0,0,0,0,0,36,0,0
Callianthe rufinerva,0,60,0,0,0,0,1,0,22
Canistrum perplexum,0,18,0,1,0,0,14,0,68
Canna paniculata,0,0,0,0,0,0,65,0,0
Centropogon cornutus,0,0,0,0,0,0,23,0,0
Edmundoa lindenii,0,0,0,0,0,0,53,0,26
Erythrina speciosa,1,95,1,0,0,5,107,0,137
Fuchsia regia,0,15,0,0,0,0,6,0,5
Inga sessilis,8,198,0,41,23,2,44,0,32
Justicia sp1 M_PL_063,0,0,0,0,0,0,7,0,0
Justicia sp2 M_PL_063,0,0,0,0,0,0,5,0,0
Lantana camara,0,0,0,0,0,0,1,26,0
Macrocarpaea rubra,30,2,0,0,1,0,6,6,33
Manettia cordifolia,0,0,0,0,0,0,50,0,0
Mendoncia velloziana,16,14,0,0,0,0,2,0,0
Mutisia speciosa,0,0,0,0,14,0,62,0,0
Nematanthus fluminensis,0,0,0,0,0,0,22,0,0
Nematanthus fritschii,0,0,0,0,0,0,36,0,0
Nematanthus gregarius,0,0,0,0,0,0,4,0,18
Nematanthus sericeus,0,4,0,0,0,0,5,0,1
Nematanthus sp1 M_PL_063,0,0,0,0,0,0,15,0,0
Nidularium innocentii,0,2,0,0,0,0,36,0,0
Nidularium longiflorum,0,0,0,0,0,0,11,0,0
Nidularium procerum,0,0,0,0,0,0,31,0,0
Nidularium rutilans,0,1,0,0,0,0,20,0,0
Psittacanthus dichroos,1,53,0,1,10,0,1,0,1
Psychotria leiocarpa,1,0,0,0,0,0,0,0,2
Pyrostegia venusta,0,0,0,0,1,0,17,0,1
Sinningia cooperi,0,0,0,0,0,0,35,0,0
Sinningia elatior,0,0,0,0,9,0,7,0,0
Sinningia glazioviana,0,0,0,0,0,0,4,0,0
Siphocampylus convolvulaceus,0,0,0,0,0,0,22,0,1
Siphocampylus lauroanus,0,0,0,0,0,0,4,0,0
Siphocampylus longipedunculatus,0,0,0,0,0,0,7,0,0
Spirotheca rivieri,0,102,0,4,0,5,0,0,74
Tillandsia dura,0,0,0,0,0,0,1,0,0
Tillandsia geminiflora,0,2,0,0,1,0,2,1,12
Tillandsia sp1 M_PL_063,0,1,0,0,0,0,2,0,4
Tillandsia stricta,0,1,0,0,0,0,1,1,3
Vriesea carinata,0,0,0,0,0,0,16,0,0
Vriesea erythrodactylon,0,0,0,0,0,0,17,0,0
Vriesea incurvata,0,0,0,0,0,0,22,0,0
Vriesea inflata,0,0,0,0,0,0,9,0,0
Vriesea simplex,0,0,0,0,0,0,24,0,0
Vriesea sp1 M_PL_063,0,0,0,0,0,0,20,0,0
Wittrockia superba,0,0,0,0,0,0,55,0,77
