"","Number of flowers","Clytolaema rubricauda","Leucochloris albicollis","Phaethornis eurynome","Phaethornis squalidus","Thalurania glaucopis"
"Abutilon bedfordianum",15,12.5,0,8.3,0,79.2
"Aechmea nudicaulis",6,13.2,0,18.4,5.3,63.1
"Aechmea vanhoutteana",134,1.8,0,22.6,6.7,68.9
"Billbergia distachya",6,0,0,61.1,27.8,11.1
"Billbergia vitata",3,30.8,0,65.4,3.8,0
"Bomarea edulis",17,0,0,36,52,12
"Fuchsia regia",5,0,0,20,60,20
"Hippeastrum aulicum",17,0,0,50,21,29
"Justicia sebastianopolitanae",8,0,0,100,0,0
"Manettia mirtis",16,0,0,14.8,70.4,14.8
"Mendoncia sp1 M_PL_066",20,0,41.5,9.7,0,48.8
"Nematanthus crassifolius",6,0,0,100,0,0
"Nematanthus fornix",9,0,0,25,6.3,68.7
"Nematanthus lanceolatus",2,0,0,31.6,68.4,0
"Nidularium itatiaiae",4,0,0,100,0,0
"Odontonema barlerioides",13,0,0,30,70,0
"Pitcaimia flammea",9,0,0,65,5,30
"Psittacanthus flavo viridis",7,33.3,0,0,0,66.7
"Pyrostegia venusta",190,0,7.7,61.5,23.1,7.7
"Quesnelia augusto-coburgii",10,0,0,100,0,0
"Salvia sellowiana",10,0,0,88.2,11.8,0
"Sinningia cooperi",10,0,0,63.6,13.7,22.7
"Sinningia gigantifolia",9,0,0,71.4,28.6,0
"Siphocampylus longepedunculatus",9,0,0,100,0,0
"Staurogyne itatiaiae",5,0,0,28.6,71.4,0
"Stromanthe thalia",3,33.3,0,33.4,33.3,0
"Tillandsia gardneri",2,0,0,0,50,50
"Velloziela dracocephaloides",7,0,0,100,0,0
"Vriesea carinata",2,0,0,90,0,10
"Vriesea longicaulis",2,0,0,50,0,50
"Vriesea sp1 M_PL_066",5,100,0,0,0,0
