"","Calliphlox amethystina","Chlorostilbon lucidus","Chrysolampis mosquitus","Eupetomena macroura","Heliomaster squamosus"
"Allamanda blanchetii",0,6,0,0,1
"Anadenanthera macrocarpa",0,1,0,0,0
"Bauhinia cheilantha",0,92,2,14,6
"Caesalpinia pyramidalis",0,1,0,0,0
"Ceiba glaziovii",0,1,0,0,2
"Cissus simsiana",0,203,0,0,0
"Cissus verticillata",0,5,0,0,0
"Cnidoscolus halteris",66,6269,46,1242,416
"Cnidoscolus obtusifolius",0,210,0,0,0
"Conocliniopsis prasiifolia",0,3,0,0,0
"Croton blanchetianus",0,0,0,0,1
"Dioclea grandiflora",0,1,0,0,1
"Encholirium spectabile",0,53,0,16,11
"Hyptis pectinata",0,2,0,0,0
"Ipomoea sp1 M_PL_067",0,18,0,0,4
"Jatropha mollissima",0,80,2,1,0
"Melocactus zehntneri",0,871,0,14,0
"Melochia tomentosa",0,581,4,2,1
"Oxalis psoraleoides",0,937,0,0,0
"Pilosocereus gounellei",0,1,0,0,0
"Pilosocereus sp1 M_PL_067",0,0,0,4,0
"Pithecoseris pacourinoides",0,5,0,0,0
"Plumbago scandens",0,95,0,1,0
"Psidium sp1 M_PL_067",0,1,0,0,0
"Ruellia asperula",0,18,0,0,0
"Staelia galioides",0,1,0,0,0
"Tabebuia impetiginosa",0,208,18,32,97
"Tacinga inamoena",0,19,0,2,0
"Tacinga palmadora",1,1524,1,3,48
"Unidentified sp1 M_PL_067",0,318,0,0,0
"Walteria rotundifolia",0,1,0,0,0
