"","Amazilia fimbriata","Amazilia versicolor","Clytolaema rubricauda","Phaethornis eurynome","Ramphodon naevius","Thalurania glaucopis"
Abundance",2,5,19,121,38,54
"Aechmea blumenavii",0,0,0,7,0,1
"Billbergia amoena",0,0,0,6,0,0
"Fuchsia regia",0,0,208,0,0,63
"Hedychium coronarium",0,2,0,0,0,0
"Heliconia farinosa",0,0,0,1,0,33
"Hippeastrum aulicum",0,0,0,32,0,3
"Ipomea sp1 M_PL_069_01",7,1,0,0,0,7
"Justicia brasiliana",0,0,0,71,0,0
"Justicia carnea",0,0,0,1,0,4
"Nematanthus australis",0,0,6,0,0,26
"Nidularium inocentii",0,0,0,17,0,0
"Psychotria suterella",0,0,0,0,0,32
"Sinningia douglasii",13,0,0,2,0,0
"Tillandsia sp1 M_PL_069_01",0,0,0,0,0,5
"Vriesea carinata",0,0,0,3,0,0
"Vriesea erythrodactylon",0,0,1,0,0,0
"Vriesea incurvata",0,0,0,0,1,0
"Vriesea vagans",0,0,4,0,1,4
