"","Allograpta sp1 M_PL_072","Alophophion sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Augochlora semiramis","Augochlorella ephyra","Augochloropsis erato","Augochloropsis sp3 M_PL_072","Bibionidae sp1 M_PL_072","Bombus bellicosus","Bombyliidae sp1 M_PL_072","Bombyliidae sp2 M_PL_072","Brachygastra lechiguana","Braconidae sp1 M_PL_072","Camponotus sp1 M_PL_072","Cantharidae sp1 M_PL_072","Chauliognathus scriptus","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chrysodina sp1 M_PL_072","Chrysomelidae sp4 M_PL_072","Cochliomyia macellaria","Coelioxys sp1 M_PL_072","Corticea immocerina","Culicidae sp1 M_PL_072","Curculionidae sp2 M_PL_072","Curculionidae sp3 M_PL_072","Dactylozodes sp1 M_PL_072","Discodon sp1 M_PL_072","Discodon sp2 M_PL_072","Drosophilidae sp1 M_PL_072","Emesis russula","Euptoieta claudia hortensia","Ichneumonoidea sp2 M_PL_072","Lerodea eufala","Libythea carinenta","Lucilia sericata","Melyridae sp1 M_PL_072","Microgastrinae sp1 M_PL_072","Mordellidae sp1 M_PL_072","Mordellidae sp2 M_PL_072","Palpada sp1 M_PL_072","Pampasatyrus gyrtone","Panurgillus sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Podagritus sp1 M_PL_072","Polistes sp1 M_PL_072","Polybia scutellaris","Pyrgus sp1 M_PL_072","Ruizantheda divaricata","Sarcophagidae sp1 M_PL_072","Staphylinidae sp1 M_PL_072","Stenodynerus sp2 M_PL_072","Stratiomyidae sp1 M_PL_072","Strymon eurytulus","Tephritidae sp1 M_PL_072","Toxomerus sp1 M_PL_072","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa augusti","Xylocopa ciliata"
"Achyrocline satureoides",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis articulata",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
"Baccharis tandilensis",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"Dodonaea viscosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Eryngium floribundum",0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eryngium horridum",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"Eryngium stenophyllum",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
"Eupatorium bupleurifolium",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupatorium macrocephalum",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eupatorium squarrulosum",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
