"","Agraulis vanillae","Agrotis sp1 M_PL_072","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Audre epulus signata","Augochlora semiramis","Augochlorella ephyra","Augochloropsis erato","Augochloropsis sp3 M_PL_072","Bombus bellicosus","Bombyliidae sp1 M_PL_072","Bombyliidae sp2 M_PL_072","Brachygastra lechiguana","Braconidae sp1 M_PL_072","Camponotus sp1 M_PL_072","Campsomeris bistrimacula","Ceratina montana","Chauliognathus scriptus","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chrysodina sp1 M_PL_072","Cochliomyia macellaria","Colias lesbia","Colletes cyaneus","Corticea immocerina","Culicidae sp1 M_PL_072","Dactylozodes sp1 M_PL_072","Dialictus sp1 M_PL_072","Discodon sp1 M_PL_072","Discodon sp2 M_PL_072","Drosophilidae sp1 M_PL_072","Euptoieta claudia hortensia","Gaesischia sp1 M_PL_072","Geometridae sp1 M_PL_072","Harmonia axyrides","Isepeolus viperinus","Leioproctus indigoticus","Lema sp1 M_PL_072","Lerodea eufala","Lucilia sericata","Megachile sp1 M_PL_072","Megachilidae sp1 M_PL_072","Mischocyttarus drewseni","Mordellidae sp1 M_PL_072","Muscidae sp1 M_PL_072","Neochrysis sp1 M_PL_072","Palpada sp1 M_PL_072","Pampasatyrus gyrtone","Panurgillus sp1 M_PL_072","Parachytas sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Polistes sp1 M_PL_072","Polybia scutellaris","Pseudagapostemon brasiliensis","Pseudagapostemon pampeanus","Pseudagapostemon singularis","Pseudocentron sp1 M_PL_072","Pseudodoros sp1 M_PL_072","Pyrgus sp1 M_PL_072","Sarcophagidae sp1 M_PL_072","Strymon eurytulus","Syritta sp1 M_PL_072","Syrphidae sp1 M_PL_072","Tachinidae sp1 M_PL_072","Tatochila autodice","Teochila maenacte","Tephritidae sp1 M_PL_072","Thespieus catochra","Toxomerus sp1 M_PL_072","Trichopoda giacomelli","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa augusti","Xylocopa ciliata","Yphthimoides celmis","Zeta canaliculata"
"Abutilon terminale",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Achyrocline satureoides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baccharis articulata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Baccharis coridifolia",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"Blumenbachia insignis",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Carduus acanthoides",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Commelina erecta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuphea fruticosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Discaria longispina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Echium plantagineum",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
