"","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Augochlora semiramis","Augochlorella ephyra","Augochloropsis sp2 M_PL_072","Bombus bellicosus","Bombyliidae sp2 M_PL_072","Brachygastra lechiguana","Camponotus sp1 M_PL_072","Campsomeris bistrimacula","Chalcidoidea sp1 M_PL_072","Chauliognathus scriptus","Chilicola sp1 M_PL_072","Chrysodina sp1 M_PL_072","Cochliomyia macellaria","Coelioxys sp1 M_PL_072","Colletes sp2 M_PL_072","Copestylum sp1 M_PL_072","Corticea immocerina","Dactylozodes sp1 M_PL_072","Drosophilidae sp1 M_PL_072","Eristalis tenax","Euptoieta claudia hortensia","Gaesischia sp1 M_PL_072","Harmonia axyrides","Hedriodiscus pulcher","Lerodea eufala","Lucilia sericata","Mordellidae sp1 M_PL_072","Palpada sp1 M_PL_072","Pampasatyrus gyrtone","Panurgillus sp1 M_PL_072","Phalacridae sp1 M_PL_072","Platycheirus sp1 M_PL_072","Polistes sp1 M_PL_072","Polybia scutellaris","Prionyx sp1 M_PL_072","Pyrgus sp1 M_PL_072","Ruizantheda divaricata","Sarcophagidae sp1 M_PL_072","Strymon eurytulus","Tachypompilus sp1 M_PL_072","Tatochila autodice","Toxomerus sp1 M_PL_072","Vanessa sp1 M_PL_072","Xylocopa ciliata"
"Abutilon terminale",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achyrocline satureoides",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alophia lahue",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apodanthera sagitifolia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis articulata",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Baccharis tandilensis",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1
"Commelina erecta",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echium plantagineum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium stenophyllum",1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0
"Eupatorium subhastatum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
