"","Agathidinae sp1 M_PL_072","Allograpta sp1 M_PL_072","Anthomyiidae sp1 M_PL_072","Apis mellifera","Astylus quadrilineatus","Augochlora semiramis","Augochlorella ephyra","Augochloropsis sp2 M_PL_072","Bibionidae sp1 M_PL_072","Bombus bellicosus","Bombyliidae sp1 M_PL_072","Bombyliidae sp2 M_PL_072","Brachygastra lechiguana","Camponotus sp1 M_PL_072","Cantharidae sp1 M_PL_072","Cantharidae sp2 M_PL_072","Ceratina montana","Chalcidoidea sp1 M_PL_072","Chalepogenus goeldianus","Chauliognathus scriptus","Chauliognathus sp2 M_PL_072","Chilicola sp1 M_PL_072","Chloropidae sp1 M_PL_072","Chrysodina sp1 M_PL_072","Chrysomelidae sp1 M_PL_072","Cleridae","Cochliomyia macellaria","Colletes sp2 M_PL_072","Copestylum sp1 M_PL_072","Corticea immocerina","Dactylozodes sp1 M_PL_072","Dialictus sp1 M_PL_072","Discodon sp1 M_PL_072","Discodon sp2 M_PL_072","Drosophilidae sp1 M_PL_072","Eudesmia australis","Euptoieta claudia hortensia","Gaesischia sp1 M_PL_072","Ichneumonoidea sp1 M_PL_072","Lerodea eufala","Lucilia sericata","Megachile sp2 M_PL_072","Megachilidae sp1 M_PL_072","Megacyllene spixi","Melissoptila tandilensis","Melyridae sp1 M_PL_072","Microgastrinae sp1 M_PL_072","Mischocyttarus drewseni","Mordellidae sp1 M_PL_072","Palpada sp1 M_PL_072","Pampasatyrus gyrtone","Phalacridae sp1 M_PL_072","Photinus fuscus","Polistes sp1 M_PL_072","Polybia scutellaris","Pyraloidea sp1 M_PL_072","Ruizantheda divaricata","Sarcophagidae sp1 M_PL_072","Staphylinidae sp1 M_PL_072","Staphylinidae sp2 M_PL_072","Strymon eurytulus","Tabanidae sp1 M_PL_072","Thespieus catochra","Toxomerus sp1 M_PL_072","Vanessa sp1 M_PL_072","Villa sp1 M_PL_072","Xylocopa augusti","Xylocopa ciliata"
"Achyrocline satureoides",0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
"Baccharis articulata",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
"Baccharis coridifolia",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Baccharis tandilensis",0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"Carduus acanthoides",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chrysanthemum leucanthemum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleanthes brasiliensis",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Colletia paradoxa",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus hermanniae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eryngium floribundum",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Eryngium horridum",0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Eryngium stenophyllum",1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
