,Agapostemon virescens,Andrena banksi,Andrena confederata,Andrena hilaris,Andrena imitatrix,Andrena perplexa,Andrena spiraeana,Andrena vicina,Anthophora abrupta,Apis mellifera,Augochlora pura,Augochlorella aurata,Augochloropsis metallica,Bombus auricomus,Bombus bimaculatus,Bombus griseocollis,Bombus impatiens,Bombus perplexus,Ceratina calcarata,Ceratina sp1 M_PL_073,Ceratina strenua,Coelioxys sayi,Colletes thoracicus,Halictus confusus,Hylaeus sp1 M_PL_073,Lasioglossum birkmani,Lasioglossum cressonii,Lasioglossum ephialtum,Lasioglossum fuscipenne,Lasioglossum hitchensi,Lasioglossum imitatum,Lasioglossum macoupinens,Lasioglossum oblongum,Lasioglossum obscurum,Lasioglossum quebecense,Lasioglossum sp1 M_PL_073,Lasioglossum subviridatum,Lasioglossum tegulare,Lasioglossum weemsi,Megachile mendica,Melissodes bimaculata,Ptilothrix bombiformus
Apocynum cannabinum,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Asclepias syriaca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,52,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Calystegia sepium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Campsis radicans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalanthus occidentalis,0,0,0,0,0,0,1,0,0,4,5,0,0,1,11,7,13,7,13,0,0,0,0,1,3,0,0,0,0,0,7,0,0,1,0,0,0,0,1,1,0,3
Commelina erecta,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conium maculatum,0,1,2,1,1,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,9,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
Erysimum cheiranthoides,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Eupatorium coelestinum,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Eupatorium purpureum,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0
Helianthus decapetalus,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hibiscus laevis,0,0,0,0,0,0,0,0,0,0,10,1,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,22
Hypericum prolificum,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,34,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lapsana communis,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Lindernia dubia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0
Lycopus rubellus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lysimachia nummularia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxalis stricta,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
Polygonum amphibium,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polymnia uvedalia,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudbeckia hirta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudbeckia laciniata,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Satchys tenuifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Scrophularia marilandica,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
Solanum carolinense,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solidago sp1 M_PL_073,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Symphiotrichum lanceolatum,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Verbena hastata,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Verbena urticifolia,0,0,0,0,0,0,0,0,0,4,31,5,1,0,0,0,0,1,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Verbesina alternifolia,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
