"","Aglaiocercus coelestis","Amazilia franciae","Amazilia tzacatl","Coeligena torquata","Coeligena wilsoni","Florisuga mellivora","Heliodoxa jacula","Ocreatus underwoodii","Phaethornis striigularis","Phaethornis syrmatophorus","Phaethornis yaruqui","Schistes albogularis","Thalurania colombica","Urosticte benjamini"
"Bomarea pardina",1,0,0,0,3,0,1,0,0,0,0,0,0,0
"Burmeistera multiflora",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavendishia tarapotana",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Centropogon solanifolius",1,0,0,0,0,0,0,0,0,21,3,2,1,0
"Columnea ciliata",0,0,0,0,0,0,0,0,27,6,13,0,0,0
"Columnea mastersonii",0,0,0,0,0,0,0,0,11,11,37,0,0,0
"Columnea picta",0,0,0,0,0,0,0,0,9,2,6,0,0,0
"Columnea strigosa",3,0,0,0,0,0,0,0,0,6,0,0,0,0
"Drymonia tenuis",0,0,0,0,0,0,0,0,10,0,0,0,0,0
"Drymonia teuscheri",0,0,0,0,0,0,0,0,3,6,3,0,0,0
"Erythrina megistophylla",2,0,0,0,0,0,0,1,1,0,0,0,0,0
"Gasteranthus quitensis",0,0,0,0,0,0,0,3,19,1,0,0,4,2
"Glossoloma purpureum",1,0,0,0,0,0,0,0,87,11,29,0,0,0
"Guzmania amplectens",0,0,0,0,9,0,0,0,0,0,5,0,0,1
"Guzmania fuscispica",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Guzmania jaramilloi",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Heliconia burleana",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Heliconia griggsiana",0,8,0,0,6,0,1,0,5,23,11,7,0,0
"Heliconia impudica",0,0,0,0,4,0,0,0,1,1,1,0,0,4
"Heliconia virginalis",0,0,0,0,0,0,0,0,11,1,36,2,6,0
"Justicia secunda",0,0,1,0,0,0,0,0,23,0,0,0,0,0
"Palicourea acetosoides",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Palicourea demissa",1,10,1,0,2,1,0,27,21,2,5,0,13,5
"Pitcairnia nigra",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Psammisia aberrans",0,0,0,2,1,0,0,0,0,5,16,0,0,0
"Psammisia ulbrichiana",1,0,0,0,7,0,0,4,0,1,1,0,0,0
"Renealmia sessilifolia",11,0,0,0,11,0,0,16,2,7,1,0,1,2
"Salvia quitensis",0,0,0,0,0,0,0,0,8,0,0,0,0,0
"Stromanthe stromanthoides",0,0,0,0,3,0,0,4,14,1,4,0,5,0
