"","Amazilia fimbriata","Anthracothorax nigricollis","Aphantochroa cirrochloris","Eupetomena macroura","Florisuga fusca","Hylocharis cyanus","Lophornis chalybeus","Phaethornis eurynome","Phaethornis ruber","Ramphodon naevius","Thalurania glaucopis"
"Aechmea distichantha",0,0,0,0,0,0,0,0,0,4,0
"Aechmea nudicaulis",0,0,0,0,0,1,0,0,0,4,1
"Aechmea pectinata",0,0,0,0,0,0,0,0,0,6,0
"Billbergia pyramidalis",0,0,0,0,0,0,0,0,0,10,0
"Buddleja brasiliensis",0,0,0,0,0,0,1,0,0,0,0
"Canistrum terminalis",0,0,0,0,0,0,0,0,0,1,0
"Centropogon cornutus",0,0,0,0,0,0,0,0,10,6,0
"Costus spiralis",0,0,0,0,0,0,0,0,0,8,0
"Dahlstedtia pinnata",0,0,0,0,0,0,0,0,0,6,0
"Erythrina speciosa",0,0,0,0,0,0,0,0,0,4,0
"Heliconia angusta",0,0,0,0,0,0,0,0,0,6,0
"Heliconia farinosa",5,0,0,0,0,0,0,0,1,4,9
"Heliconia spathocircinata",0,0,0,0,0,0,0,0,3,8,0
"Justicia carnea",0,0,0,0,0,0,0,0,0,3,0
"Manettia gracilis",0,0,0,0,0,0,0,2,0,0,0
"Mendoncia coccinea",0,0,0,0,0,0,0,0,6,0,5
"Nematanthus fissus",0,0,0,0,0,0,0,0,10,0,1
"Nematanthus fluminensis",0,0,0,0,0,0,0,0,0,8,0
"Nematanthus fritschii",0,0,0,0,0,0,0,0,0,4,0
"Neoregelia johannis",0,0,0,0,0,0,0,0,0,6,0
"Nidularium innocentii",0,0,0,0,0,0,0,0,0,10,0
"Nidularium procerum",0,0,0,0,0,0,0,0,0,6,0
"Nidularium seidelii",0,0,0,0,0,0,0,0,0,2,0
"Psittacanthus dichrous",0,0,0,0,0,2,0,0,0,0,0
"Psychotria nemorosa",0,0,0,0,0,0,0,0,2,0,1
"Psychotria nuda",0,0,0,0,0,0,0,0,6,1,3
"Quesnelia arvensis",0,0,0,0,0,0,0,0,0,5,2
"Quesnelia humilis",0,0,0,0,0,0,0,0,0,2,0
"Quesnelia marmorata",8,0,0,0,0,1,0,0,0,6,2
"Schwartzia brasiliensis",6,8,2,2,16,1,1,0,0,0,9
"Tillandsia gardneri",0,0,0,0,0,0,0,0,1,0,0
"Tillandsia geminiflora",0,0,0,0,0,0,0,0,1,0,0
"Tillandsia stricta",0,0,0,0,0,0,0,0,0,0,1
"Vriesea ensiformis",0,0,0,0,0,0,0,0,0,3,0
"Vriesea flammea",0,0,0,0,1,0,0,0,0,6,1
"Vriesea incurvata",0,0,0,0,0,0,0,0,0,6,0
"Vriesea philippocoburgii",0,0,0,0,0,0,0,0,0,2,0
"Vriesea procera",1,0,0,0,0,0,0,0,0,0,0
"Vriesea rodigasiana",0,0,0,0,0,0,0,1,1,0,1
"Vriesea scalaris",0,0,0,0,0,0,0,0,0,2,0
