"","Anthracothorax nigricollis","Augastes scutatus","Calliphlox amethystina","Campylopterus largipennis","Chlorostilbon lucidus","Colibri serrirostris","Eupetomena macroura","Phaethornis pretrei","Thalurania furcata"
"Aechmea bromeliifolia",0,1,0,0,1,0,0,1,0
"Aechmea phanerophlebia",0,8,0,0,0,0,10,3,4
"Agalinis angustifolia",0,0,0,0,0,1,0,4,0
"Aspilia foliosa",0,6,0,0,0,0,0,0,0
"Barbacenia flava",0,0,0,0,0,0,0,1,0
"Barbacenia gardneri",0,0,0,0,0,0,0,2,0
"Barbacenia longiflora",0,0,0,0,0,0,0,4,0
"Caamembeca oleifolia",0,0,0,0,0,0,1,0,0
"Calolisianthus pulcherrimus",0,0,0,0,0,0,0,1,0
"Cipocereus minensis",0,0,0,0,0,0,0,2,0
"Cuphea diosmifolia",0,3,0,0,0,0,0,0,0
"Cuphea disperma",0,2,0,0,0,0,0,0,0
"Cuphea ericoides",0,12,0,0,0,0,0,0,0
"Declieuxia fruticosa",0,0,0,0,1,0,0,0,0
"Encholirium subsecundum",0,6,0,0,0,0,0,0,0
"Eremanthus bicolor",0,1,0,0,0,0,0,0,0
"Esterhazya nanuzae",0,3,0,0,0,0,0,2,0
"Gaylussacia brasiliensis",0,5,0,0,7,0,0,0,0
"Gaylussacia virgata",0,9,0,0,0,0,0,0,0
"Hyptis passerina",0,1,0,0,0,0,0,0,0
"Lepidaploa lilacina",0,42,0,0,2,0,0,0,0
"Lepidaploa rufogrisea",0,2,0,0,0,0,0,0,0
"Lepidaploa sp2 M_PL_074_09",0,6,0,0,1,0,1,0,0
"Lippia sp2 M_PL_074_09",0,15,0,0,0,0,0,0,0
"Lippia sp3 M_PL_074_09",0,1,0,0,0,0,0,0,0
"Lychnophora pohlii",0,42,3,0,0,8,0,0,0
"Lychnophora sp1 M_PL_074_09",0,1,0,0,0,0,0,0,0
"Lychnophora tomentosa",0,5,0,0,0,0,0,0,0
"Mandevilla pycnantha",0,0,0,1,0,6,3,1,1
"Mikania sp1 M_PL_074_09",0,1,0,0,0,0,0,0,0
"Mimosa aurivillus",0,2,0,0,0,0,0,0,0
"Minasia scapigera",0,8,0,0,0,0,0,0,0
"Oocephalus sp1 M_PL_074_09",1,0,14,0,1,1,0,0,0
"Oocephalus sp2 M_PL_074_09",2,0,4,0,0,3,0,0,0
"Paliavana sericiflora",0,18,0,1,0,0,0,13,0
"Palicourea marcgravii",0,2,0,0,0,0,0,0,0
"Palicourea rigida",0,18,0,1,0,0,2,1,1
"Pavonia schwackei",0,2,0,0,0,0,0,0,0
"Periandra mediterranea",0,0,0,0,0,0,0,1,0
"Physocalyx major",0,2,0,0,0,0,0,0,0
"Piptolepis imbricata",0,5,0,0,0,0,0,0,0
"Proteopsis argentea",0,4,0,0,0,0,0,0,0
"Psyllocarpus laricoides",0,9,0,0,0,0,0,0,0
"Psylocarpus sp1 M_PL_074_09",0,1,0,0,0,0,0,0,0
"Ruellia densa",0,12,0,0,1,0,0,0,0
"Schwartzia adamantium",0,51,0,3,0,0,37,0,6
"Stachytarpheta sp2 M_PL_074_09",0,120,0,0,0,7,10,1,4
"Vellozia hirsuta",0,0,0,2,0,0,0,0,0
"Vochysia discolor",3,15,2,4,0,7,13,1,2
"Waltheria sp1 M_PL_074_09",0,2,0,0,0,0,0,0,0
