"","Coereba flaveola ","Columba squamosa ","Dendroica caerulescens ","Dendroica tigrina ","Euphonia musica ","Icterus dominicensis ","Loxigilla portoricensis ","Margarops fuscatus ","Melanerpes portoricensis ","Myarchus antillarum ","Nesospingus sp1 M_SD_004","Spindalis portoricensis ","Tiaris bicolor ","Todus mexicanus ","Tyrannus caudifasciatus ","Tyrannus dominicensis ","Vireo altiloquous ","Vireo flavirostris ","Vireo latimeri ","Zenaida asiatica"
"Alchornea latifolia ",0,0,0,0,0,0,14,0,0,0,0,3,0,1,0,0,3,0,1,5
"Andira inermis ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"Anthurium scandens ",0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Buchenavia capitata ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Casearia arborea ",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Cecropia schreberiana ",2,0,1,3,0,0,6,1,3,0,6,29,0,0,0,0,4,0,0,0
"Citrus sinensis ",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Clusia rosea ",0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,11,0,0,0
"Coffea arabica ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"Cordia sulcata ",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"Dendropanax arboreus ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Dendropemon bicolor ",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_004",0,0,0,0,0,0,0,1,0,0,4,34,0,0,0,0,1,0,0,0
"Guarea guidonia ",0,0,0,0,0,0,17,1,0,0,5,0,0,0,0,0,14,1,0,0
"Henriettea fascicularis ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inga laurina ",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
"Inga vera ",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0
"Miconia affinis ",0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,0
"Miconia racemosa ",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Miconia serrulata ",0,0,0,0,2,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0
"Momordica charantia ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Musa acuminata ",0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0
"Myrcine coriacea ",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0
"Palicourea crocea ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea guianensis ",0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Philodendron angustatum ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Phoradendron sp1 M_SD_004",1,0,0,0,55,0,9,0,0,0,3,10,0,0,0,0,1,1,0,0
"Piper sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Schefflera morototoni ",1,5,0,1,1,0,1,1,0,0,4,56,0,0,1,4,3,0,0,0
"Solanum rugosum ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Syzigium jambos ",0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
"Tilandsia sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Zanthoxylum martinicensis",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
