"","Columba leucomela","Ducula spilorrhoa","Lopholaimus antarcticus","Macropygia amboinensis","Ptilinopus magnificus","Ptilinopus regina","Ptilinopus superbus"
"Aceratium megalospermun",0,0,0,1,0,0,1
"Alphitonia whitei",0,0,0,0,0,0,1
"Antirhea tenuiflora",0,0,0,0,1,0,1
"Archontophoenix alexandrae",0,0,0,0,1,1,1
"Breynia stipitata",0,0,0,1,0,0,0
"Calamus sp1 M_SD_007",0,0,0,0,0,0,1
"Cananga odorata",0,0,0,0,1,0,0
"Canarium australianum",0,1,0,0,1,0,1
"Canthium coprosmoides",0,0,0,0,0,0,1
"Cinnamomun laubatii",1,0,0,0,1,0,0
"Cissus hypoglauca",0,0,0,1,1,0,1
"Cissus sterculifolius",0,0,0,0,1,0,1
"Citronella emythii",0,0,0,0,1,0,1
"Clerodendrum traceyanum",0,0,0,0,0,0,1
"Cryptocarya hypospodia",0,1,0,0,1,0,1
"Cryptocarya mackinnoniana",0,0,1,0,1,0,1
"Cryptocarya sp1 M_SD_007",1,0,0,0,1,0,1
"Dendrophthoe falcata",0,0,0,0,0,1,0
"Dysoxylum micranthum",0,0,0,1,1,0,1
"Dysoxylum oppositifolium",0,0,0,0,1,0,1
"Dysoxylum sp1 M_SD_007",0,0,0,0,1,0,0
"Elaeocarpus arnhemicus",0,0,0,0,0,0,1
"Elaeocarpus grahamii",0,0,0,1,1,0,1
"Elaeocarpus grandis",0,0,0,0,1,0,1
"Elaeocarpus largiflorens",0,0,0,0,1,1,1
"Embelia sp1 M_SD_007",0,0,0,0,0,0,1
"Endiandra hypotephra",0,0,0,0,1,1,1
"Endiandra muelleri",0,0,0,0,1,1,1
"Eugenia johnsonii",0,0,0,0,1,0,1
"Eugenia sp1 M_SD_007",0,0,0,0,1,0,1
"Euodia xanthoxyloides",0,0,0,1,0,0,0
"Ficus destruens",0,1,0,0,1,1,1
"Ficus leptoclada",0,0,0,0,1,0,1
"Ficus virens",0,1,0,0,1,0,1
"Flagellaria sp1 M_SD_007",0,0,0,0,1,0,1
"Freycinetia excelsa",0,0,0,1,0,0,0
"Ganophyllum faloatum",0,0,0,0,0,1,0
"Glochidion ferdinandii",0,0,0,1,0,0,1
"Gmelina fasciculiflora",0,0,0,0,1,0,0
"Gomphandra australiana",0,1,0,0,1,0,0
"Hakea laurina",0,0,0,0,1,0,1
"Helicia nortoniana",0,0,0,1,0,0,0
"Hibbertia scandens",0,0,0,1,0,0,0
"Homalanthus populifolius",0,0,0,1,0,0,0
"Hypaerpa decumbens",0,0,0,0,1,0,0
"Kissodendron australianum",0,0,0,1,1,0,1
"Lantana camara",0,0,0,1,0,0,0
"Linociera ramiflora",0,1,0,0,1,1,1
"Litsea bindoniana",0,0,0,1,1,0,1
"Litsea glutinosa",0,1,0,0,0,0,0
"Litsea leefeana",1,0,0,0,1,1,1
"Melia asederach",0,0,0,0,1,0,0
"Morinda jasminioides",0,0,0,0,1,0,0
"Myristica muelleri",0,1,0,0,1,0,1
"Neolitsea dealbata",1,0,0,1,1,1,1
"Notothixos subarueus",0,0,0,1,1,0,1
"Pilidiostigma tropicum",0,0,0,0,0,0,1
"Piper sp1 M_SD_007",0,0,0,0,1,0,1
"Planchonella obovata",0,0,0,0,1,0,0
"Planchonella obovoidea",0,0,0,0,1,0,0
"Planchonella xerocarpa",0,0,0,1,0,0,0
"Pothos loureirii",0,0,0,1,1,0,1
"Rauwenhoffia leichardtii",0,0,0,0,0,0,1
"Solanum torvum",0,0,0,1,0,0,0
"Solanum viride",0,0,0,1,0,0,0
"Strychnos colubrina",0,0,0,0,1,0,0
"Symplocos etawellii",0,0,0,0,1,0,1
"Symplocos paucistamineus",0,0,0,0,0,0,1
"Terminalia sericocarpa",0,0,0,0,1,0,1
"Tetrasynandra laxiflora",0,0,0,0,1,0,1
"Tieghemopanax elegans",0,0,0,1,1,1,1
"Tieghemopanax murrayi",0,0,0,1,1,1,1
