"","Andropadus importunus","Buccanodon leucotis","Bycanistes buccinator","Chlorocichla flaviventris","Lumprocolius corruscus","Pogoniulus bilineatus","Pycnonotus barbatus","Tauraco porphyrocephalus","Unidentified sp1 M_SD_008","Zosterops pallidus"
"Antidesma venosum",1,3,0,4,0,36,11,2,11,18
"Apodytes dimidiata",5,0,0,164,20,30,3,0,20,10
"Bridelia micrantha",12,12,0,123,3,6,114,12,12,6
"Dovyalis longispina",27,2,0,57,12,27,57,8,0,6
"Ekebergia capensis",1,14,10,7,12,5,1,13,0,6
"Erianthemum dregei",0,0,0,0,0,141,0,0,9,0
"Euclea natalensis",2,8,0,51,0,27,8,3,4,0
"Ficus natalensis",0,15,5,25,8,116,25,18,13,28
"Ficus vogelii",11,259,173,270,22,86,151,11,32,65
"Halleria lucida",0,13,0,26,16,44,23,0,125,13
"Mimusops caffra",0,0,0,11,3,3,3,5,0,0
"Sideroxylon inerme",25,4,0,112,2,38,0,4,6,0
"Strelitzia nicolai",0,5,0,0,0,10,26,0,0,0
"Trema orientalis",4,0,0,9,4,92,13,0,44,53
"Trichilia emetica",3,0,2,83,29,41,10,2,0,0
"Vepris undulata",26,0,0,47,0,62,0,0,11,13
