"","Chlorophanes spiza","Coereba flaveola ","Cyanerpes caeruleus","Cyanerpes cyaneus","Dacnis cayana","Euphonia violacea","Ramphocelus carbo","Tachyphonus luctuosus","Tachyphonus rufus","Tangara guttata","Tangara gyrola","Tangara mexicana","Thraupis episcopus","Thraupis palmarum"
"Aechmaea dichlamydea",0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Aechmaea mertensii",0,0,0,0,0,0,2,0,2,0,0,0,0,0
"Aechmaea nudicaulis",0,0,0,0,0,38,0,0,7,0,0,0,0,0
"Aegiphilia integrifolia",0,0,0,0,0,0,0,0,0,0,2,1,0,0
"Alchornea glandulosa",13,0,11,0,16,0,0,0,0,9,13,0,1,14
"Anthurium gracile",0,0,0,0,0,4,1,0,4,0,0,0,0,0
"Anthurium scandens ",0,0,0,0,0,19,0,4,3,0,0,0,0,0
"Byrsonima spicata",0,0,0,0,1,0,0,0,0,0,10,0,0,0
"Calycolpus glaber",0,1,0,0,1,0,2,0,0,0,0,1,2,2
"Castilla elastica",0,0,0,0,0,0,1,0,0,0,0,0,5,0
"Cecropia peltata",5,4,0,0,3,0,17,0,18,3,72,31,26,18
"Chiococca alba",3,0,0,0,0,1,0,0,0,0,1,15,0,0
"Clidemia sp1 M_SD_010",0,0,0,0,0,3,27,0,9,0,2,0,0,0
"Clusia sp1 M_SD_010",3,0,14,1,2,0,0,0,0,0,0,0,0,0
"Cordia bicolor",0,5,0,0,0,0,0,0,4,0,5,3,5,5
"Cordia curassavica",0,1,0,0,0,0,18,0,1,0,0,7,2,0
"Coussarea paniculata",0,0,0,0,0,1,5,0,4,0,0,0,6,2
"Cupania sp1 M_SD_010",0,1,0,8,0,0,0,0,0,0,0,0,0,0
"Davilla aspera",0,0,0,0,0,0,5,0,1,0,0,0,0,1
"Didymopanax morototoni",2,1,0,0,4,0,5,0,0,0,13,1,33,49
"Doliocarpus dentatus",0,0,0,5,1,0,0,0,0,0,0,0,3,3
"Eugenia baileyi",0,0,0,0,0,0,0,0,0,0,0,3,1,3
"Ficus citrifolia",0,0,0,0,0,3,0,0,2,0,15,4,0,0
"Ficus clusiifolia",12,8,3,5,1,7,0,0,3,2,48,17,8,11
"Ficus tobagensis",1,0,0,0,0,3,3,0,0,0,4,2,0,0
"Gravisia aquilega",0,0,0,0,0,0,14,0,29,0,0,0,0,0
"Henriettea sp1 M_SD_010",0,0,0,0,0,0,2,0,2,0,1,0,0,0
"Hieronyma caribaea",5,1,1,0,4,0,0,0,1,4,14,3,0,0
"Ilex sp1 M_SD_010",0,0,0,0,0,0,1,0,0,0,3,20,0,0
"Isertia parviflora",0,0,0,0,0,0,2,0,3,0,0,0,0,0
"Lacistema aggregatum",1,0,0,0,2,0,1,0,0,0,3,5,1,2
"Laetia procera",0,0,0,0,7,0,5,0,1,0,0,8,1,3
"Miconia sp1 M_SD_010",80,12,11,20,52,17,153,5,23,40,127,74,17,35
"Myrcia leptoclada",0,0,0,0,0,1,0,0,0,0,11,0,0,0
"Myrcia sp1 M_SD_010",0,0,2,0,0,0,0,0,0,1,0,3,0,0
"Norantea guianensis",0,0,0,0,2,0,0,0,0,0,1,0,0,0
"Phytolacca rivinoides ",0,0,0,0,0,0,1,0,1,0,0,0,0,1
"Piper sp1 M_SD_010",0,0,0,0,0,9,0,0,0,0,0,0,10,0
"Protium heptaphyllum",4,0,0,0,4,5,2,1,9,0,6,13,9,12
"Psidium guajava",0,0,0,0,0,0,4,0,0,0,0,3,0,0
"Psychotria sp1 M_SD_010",0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Rhipsalis sp1 M_SD_010",0,6,0,0,0,32,0,0,0,0,0,2,0,1
"Rourea surinamensis",1,1,0,0,2,0,0,0,0,0,0,0,0,0
"Sapium aucuparium",2,8,1,3,12,0,0,0,0,2,1,0,0,0
"Sloanea stipilata",0,2,0,4,2,0,2,1,4,1,7,0,1,1
"Solanum sp1 M_SD_010",0,0,0,0,0,0,3,0,0,0,2,0,0,0
"Trema micrantha",34,3,27,11,13,29,1,0,3,12,39,11,2,1
"Unidentified sp1 M_SD_010",0,0,0,0,0,0,2,0,3,0,0,0,0,0
"Unidentified sp2 M_SD_010",6,1,3,0,2,29,0,0,3,0,2,10,0,0
"Wulffia baccata",0,0,4,0,2,0,2,0,0,0,1,0,0,0
