"","Cyanopica cyanus","Erithacus rubecula","Ficedula hypoleuca","Luscinia megarhynchos","Muscicapa striata","Phoenicurus phoenicurus","Saxicola torquata","Sturnus unicolor","Sylvia atricapilla","Sylvia borin","Sylvia cantillans","Sylvia communis","Sylvia hortensis","Sylvia melanocephala","Sylvia undata","Turdus merula","Turdus philomelos"
"Asparagus aculeatus",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
"Asparagus aphyllus",0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
"Crataegus monogyna",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"Daphne gnidium",0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0
"Lonicera periclymenum",0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
"Myrtus communis",1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1
"Olea europaea",1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1
"Osyris alba",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
"Phillyrea angustifolia",1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1
"Pistacia lentiscus",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Pyrus bourgaeana",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"Rhamnus lycioides",1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0
"Rubia pregrina",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Rubus ulmifolius",1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
"Smilax aspera",0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0
"Tamus communis",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
