"","Alethe poliocephala","Andropadus ansorgei","Andropadus curvirostris","Andropadus gracilirostris","Andropadus latirostris","Andropadus masukuensis","Andropadus virens","Anthoscopus caroli","Apalis rufogularis","Baeopogon indicator","Bathmocercus rufus","Bleda syndactylus","Buccanodon duchaillui","Campephaga flava","Centropus monachus","Ceratogymna subcylindrica","Cercopithecus ascanius","Cercopithecus mitis","Chalcomitra amethystina","Chalcomitra senegalensis","Chlorocichla flavicollis","Chlorocichla laetissima","Cinnyricinclus leucogaster","Colius striatus","Colobus guereza","Columba larvata","Cossypha heuglini","Cossypha niveicapilla","Cossypha polioptera","Cuculus clamosus","Cyanomitra olivacea","Cyanomitra verticalis","Dicrurus adsimilis","Elminia longicauda","Eremomela turneri","Estrilda nonnula","Gymnobucco bonapartei","Heliosciurus rufobrachium","Hippolais pallida","Hylia prasina","Laniarius luehderi","Lybius bidentatus","Malimbus rubricollis","Melaniparus albiventris","Melaniparus funereus","Musophaga rossae","Nigrita canicapillus","Nigrita fusconotus","Oriolus auratus","Oriolus brachyrhynchus","Papio anubis","Phoenicurus phoenicurus","Phyllastrephus cabanisi","Phyllastrephus hypochloris","Phylloscopus budongoensis","Phylloscopus sibilatrix","Phylloscopus trochilus","Platysteira castanea","Platysteira cyanea","Ploceus baglafecht","Ploceus bicolor","Ploceus insignis","Ploceus melanocephalus","Ploceus nigerrimus","Ploceus nigricollis","Ploceus ocularis","Pogoniulus bilineatus","Prinia bairdii","Prodotiscus insignis","Pycnonotus barbatus","Schistolais leucopogon","Serinus citrinelloides","Serinus dorsostriatus","Serinus mozambicus","Spermophaga ruficapilla","Sylvia atricapilla","Sylvia borin","Sylvia communis","Terpsiphone viridis","Tockus alboterminatus","Trachyphonus purpuratus","Treron calvus","Tricholaema hirsuta","Turdoides sharpei","Turdus olivaceus","Turdus pelios","Turtur tympanistria","Zosterops senegalensis"
"Allophylus abyssinicus",0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antiaris toxicaria",0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,2,9,16,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,4,0,0,0,0,0,0,0,0,62,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2
"Blighia unijugata",0,0,0,0,15,2,0,0,0,0,0,0,13,0,0,12,8,1,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,5,0,0,4,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,5
"Bridelia micrantha",0,0,1,3,21,2,0,0,0,7,0,0,13,0,0,18,24,20,0,0,0,22,3,0,15,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,2,0,0,0,2,0,0,0,2,0,0,3,8,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,54,0,0,0,2,0,37,0,0,1,0,3,5,1,3,0,25,3,22
"Carissa edulis",0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0
"Casearia battiscombei",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cissus oliveri",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"Clerodendrum capitatum",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
"Coffea eugenioides",0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Culcasia falcifolia",0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
