,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
AdamsJohn,0,0,1,1,0,0,0
Adams_Samuel,0,0,1,1,0,1,1
Allen_Dr,0,0,1,0,0,0,0
Appleton_Nathaniel,0,0,1,0,0,1,0
Ash_Gilbert,1,0,0,0,0,0,0
Austin_Benjamin,0,0,0,0,0,0,1
Austin_Samuel,0,0,0,0,0,0,1
Avery_John,0,1,0,0,0,0,1
Baldwin_Cyrus,0,0,0,0,0,0,1
Ballard_John,0,0,1,0,0,0,0
Barber_Nathaniel,0,0,1,0,1,1,1
Barnard_Samuel,0,0,0,0,1,0,0
Barrett_Samuel,1,0,0,0,0,0,1
Bass_Henry,0,1,1,0,1,0,1
Bell_William,1,0,0,0,0,0,0
Blake_Increase,1,0,0,0,0,0,0
Boit_John,0,0,1,0,0,0,0
Bolter_Thomas,0,0,0,0,1,0,0
Boyer_Peter,0,0,0,0,0,0,1
Boynton_Richard,0,0,0,0,0,1,1
Brackett_Jos,0,0,0,0,0,0,1
Bradford_John,0,0,0,0,0,1,1
Bradlee_David,0,0,0,0,1,0,0
Bradlee_Josiah,0,0,0,0,1,0,0
Bradlee_Nathaniel,0,0,0,0,1,0,0
Bradlee_Thomas,0,0,0,0,1,0,0
Bray_George,1,0,0,0,0,0,0
Breck_William,0,0,1,0,0,0,0
Bewer_James,0,0,0,0,1,0,0
Brimmer_Herman,0,0,0,0,0,0,1
Brimmer_Martin,0,0,0,0,0,0,1
Broomfield_Henry,0,0,0,0,0,0,1
Brown_Hugh,1,0,0,0,0,0,0
Brown_Enoch,0,0,0,0,0,0,1
Brown_John,0,0,0,0,0,0,1
Bruce_Stephen,0,0,0,0,1,0,0
Burbeck_Edward,1,0,0,0,0,0,0
Burbeck_William,1,0,0,0,0,0,0
Burt_Benjamin,0,0,1,0,0,0,0
Burton_Benjamin,0,0,0,0,1,0,0
Cailleteau_Edward,1,0,0,0,0,0,0
Callendar_Elisha,1,0,0,0,0,0,0
Campbell_Nicholas,0,0,0,0,1,0,0
Cazneau_Capt,0,0,1,0,0,0,0
Chadwell_Mr,0,0,1,0,0,0,0
Champney_Caleb,0,0,1,0,0,0,0
Chase_Thomas,0,1,1,0,1,0,1
Cheever_Ezekiel,0,0,1,0,0,0,1
Chipman_Seth,1,0,0,0,0,0,0
Chrysty_Thomas,0,0,1,0,0,0,0
Church_Benjamin,0,0,1,1,0,1,1
Clarke_Benjamin,0,0,0,0,1,0,0
Cleverly_Stephen,0,1,0,0,0,0,0
Cochran_John,0,0,0,0,1,0,0
Colesworthy_Gilbert,0,0,0,0,1,0,0
Collier_Gershom,0,0,0,0,1,0,0
Collins_Ezra,1,0,0,0,0,0,0
Collson_Adam,0,0,1,0,1,0,0
Condy_JamesFoster,0,0,1,0,1,0,1
Cooper_Samuel,0,0,0,1,1,0,0
Cooper_William,0,0,0,1,0,0,0
Crafts_Thomas,1,1,0,0,0,0,0
Crane_John,0,0,0,0,1,0,0
Davis_Caleb,0,0,0,0,0,1,1
Davis_Edward,0,0,0,0,0,0,1
Davis_Robert,0,0,0,0,1,0,0
Davis_William,0,0,0,0,0,0,1
Dawes_Thomas,0,0,0,1,0,0,0
Dennie_William,0,0,1,0,0,1,0
Deshon_Moses,1,0,0,0,0,0,0
Dexter_Samuel,0,0,0,1,0,0,0
Dolbear_Edward,0,0,0,0,1,0,0
Doyle_Peter,1,0,0,0,0,0,0
Eaton_Joseph,0,0,0,0,1,0,0
Eayres_Joseph,0,0,0,0,1,0,1
Eckley_Unknown,0,0,0,0,1,0,0
Edes_Benjamin,0,1,1,0,0,0,0
Emmes_Samuel,0,0,1,0,0,0,0
Etheridge_William,0,0,0,0,1,0,0
Fenno_Samuel,0,0,0,0,1,0,0
Ferrell_Ambrose,1,0,0,0,0,0,0
Field_Joseph,0,1,0,0,0,0,0
Flagg_Josiah,1,0,0,0,0,0,0
Fleet_Thomas,0,0,0,1,0,0,0
Foster_Bos,0,0,0,0,0,0,1
Foster_Samuel,0,0,0,0,1,0,0
Frothingham_Nathaniel,0,0,0,0,1,0,0
Gammell_John,0,0,0,0,1,0,0
