"X","Amalaraeus.penicilliger","Amphipsylla.georgica","Amphipsylla.rossica","Ceratophyllus.sciurorum","Ctenophthalmus.euxinicus","Ctenophthalmus.hypanis","Ctenophthalmus.inornatus","Ctenophthalmus.proximus","Ctenophthalmus.shovi","Hystrichopsylla.satunini","Hystrichopsylla.talpae","Leptopsylla.segnis","Leptopsylla.taschenbergi","Megabothris.turbidus","Myoxopsylla.jordani","Nosopsyllus.fasciatus","Palaeopsylla.caucasica","Rhadinopsylla.integella"
"Apodemus mystacinus",0,0,0,0,3,3,0,74,13,4,0,11,0,3,2,15,0,0
"Apodemus sylvaticus",0,2,4,4,0,8,3,321,45,5,3,19,28,40,4,30,3,3
"Chionomys nivalis",0,0,2,0,0,2,3,0,0,0,0,0,0,2,0,0,0,2
"Cricetulus migratorius",0,13,10,0,0,4,4,0,0,0,0,0,0,16,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,0
"Microtus arvalis",3,0,105,0,0,262,9,2,36,0,13,0,0,118,0,0,0,0
"Microtus majori",0,0,3,0,0,4,0,27,34,3,2,4,0,27,0,0,0,0
"Myoxus glis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"Prometheomys schaposchnikowi",0,0,5,0,0,6,249,0,0,0,0,0,0,2,0,0,0,0
"Sorex araneus",0,0,0,0,0,0,0,11,3,0,0,2,0,0,0,0,0,0
