"X","Amalaraeus.penicilliger","Ceratophyllus.indages","Ctenophthalmus.assimilis","Frontopsylla.elata","Hystrichopsylla.talpae","Megabothris.rectangulatus","Megabothris.turbidus","Neopsylla.mana","Palaeopsylla.soricis"
"Apodemus agrarius",2,0,20,10,3,10,3,10,20
"Apodemus speciosus",6,0,25,19,13,6,3,13,2
"Arvicola terrestris",34,0,8,0,2,13,0,4,0
"Clethrionomys glareolus",15,0,31,3,8,31,6,31,8
"Clethrionomys rufocanus",0,0,0,0,0,2,0,2,2
"Clethrionomys rutilus",18,0,27,3,5,27,5,18,9
"Cricetus cricetus",2,0,0,0,3,2,0,4,0
"Micromys minutus",0,0,0,0,0,10,10,10,10
"Microtus agrestis",2,0,5,0,0,7,0,2,5
"Microtus arvalis",15,0,60,6,3,30,10,15,5
"Microtus gregalis",5,0,15,0,3,5,0,2,2
"Microtus oeconomus",26,0,44,0,9,53,0,8,6
"Neomys fodiens",2,0,54,0,0,3,0,108,10
"Sicista subtilis",0,0,9,7,6,5,0,35,0
"Sorex araneus",5,0,51,0,18,10,2,510,26
"Sorex arcticus",0,0,2,0,0,0,0,55,3
"Sorex caecutiens",0,0,4,0,0,0,0,5,0
"Sorex daphaenodon",0,0,0,0,0,0,0,46,8
"Sorex isodon",0,0,0,0,0,0,0,5,0
"Sorex minutissimus",0,0,2,0,0,0,0,0,0
"Sorex minutus",0,0,12,0,0,5,0,75,3
"Talpa europaea",4,0,15,0,2,0,0,18,0
"Tamias sibiricus",0,5,0,0,0,0,0,0,0
