"X","Amphipsylla.dumalis","Amphipsylla.rossica","Amphipsylla.schelkovnikovi","Citellophilus.trispinus","Citellophilus.ullus","Coptopsylla.lamellifer","Ctenophthalmus.arvalis","Ctenophthalmus.breviatus","Ctenophthalmus.dolichus","Ctenophthalmus.dux","Echidnophaga.oschanini","Mesopsylla.eucta","Mesopsylla.hebes","Mesopsylla.lenis","Mesopsylla.tuschkan","Neopsylla.teratura","Nosopsyllus.consimilis","Nosopsyllus.fidus","Nosopsyllus.laeviceps","Nosopsyllus.tersus","Ophthalmopsylla.volgensis","Paradoxopsyllus.repandus","Pectinoctenus.nemorosa","Rhadinopsylla.bivirgis","Rhadinopsylla.cedestis","Rhadinopsylla.socia","Xenopsylla.conformis","Xenopsylla.gerbilli","Xenopsylla.hirtipes","Xenopsylla.magdalinae","Xenopsylla.skrjabini"
"Allactaga elater",0,0,0,0,0,0,2,0,0,0,0,54,3,141,9,0,2,0,0,0,37,0,0,0,0,0,3,2,0,0,0
"Allactaga major",0,0,0,0,0,0,2,0,0,0,0,0,57,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga severtzovi",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"Allactaga sibirica",0,0,0,0,0,0,0,0,0,0,0,10,17,5,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"Apodemus uralensis",0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,2,4,11,0,0,0,0,20,0,0,0,0,0,0,0,0
"Cricetulus migratorius",0,5,328,2,0,0,9,0,0,0,0,0,0,0,0,28,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Dipus sagitta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"Ellobius talpinus",2,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0
"Meriones meridianus",0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,43,0,0,0,0,0,0,0,169,0,0,0,0
"Meriones tamariscinus",0,0,0,0,5,0,2,0,0,0,7,0,0,2,0,0,0,7,119,0,0,0,0,0,0,0,166,0,0,0,0
"Microtus arvalis",0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus gregalis",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus socialis",0,4,0,0,0,0,21,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pygeretmus pumilio",0,0,0,0,0,0,0,0,0,0,0,4,0,0,69,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0
"Pygeretmus shitkovi",0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"Rhombomys opimus",0,0,0,0,11,121,0,0,58,0,101,2,0,0,0,0,0,0,165,26,0,2,0,3,12,16,8,619,1305,0,2198
"Spermophilus pygmaeus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Stylodipus telum",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7
