"X","Amalaraeus.penicilliger","Amphipsylla.rossica","Ceratophyllus.indages","Ceratophyllus.sciurorum","Corrodopsylla.birulai","Ctenophthalmus.agyrtes","Ctenophthalmus.assimilis","Ctenophthalmus.bisoctodentatus","Ctenophthalmus.uncinatus","Doratopsylla.dasycnema","Hystrichopsylla.talpae","Leptopsylla.segnis","Megabothris.rectangulatus","Megabothris.turbidus","Megabothris.walkeri","Palaeopsylla.kohauti","Palaeopsylla.soricis","Peromyscopsylla.bidentata","Peromyscopsylla.silvatica","Rhadinopsylla.integella","Tarsopsylla.octodecimdentata"
"Apodemus agrarius",0,4,0,0,0,30,3,0,12,0,6,0,1,49,2,0,2,0,0,0,0
"Apodemus uralensis",0,1,0,0,0,56,1,0,38,2,0,1,0,100,2,0,2,1,0,0,0
"Clethrionomys glareolus",194,12,0,0,0,142,18,4,729,11,14,0,28,351,27,0,22,181,71,3,0
"Clethrionomys rutilus",26,0,0,0,0,10,0,0,43,0,13,0,3,23,0,0,0,44,14,0,0
"Micromys minutus",0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0
"Microtus agrestis",0,1,0,0,0,6,0,0,8,0,5,0,0,15,13,0,0,9,0,0,0
"Microtus arvalis",1,75,0,0,0,4,5,2,5,0,9,1,0,13,1,0,1,9,0,0,0
"Microtus oeconomus",0,6,0,0,1,57,0,0,29,0,0,0,0,5,145,0,3,1,0,0,0
"Myopus schisticolor",0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,2,0,0,0
"Neomys fodiens",0,0,0,0,8,0,0,0,1,3,0,0,0,0,0,0,9,0,0,0,0
"Sciurus vulgaris",1,0,13,30,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,22
"Sorex araneus",3,0,0,0,6,28,2,2,56,606,34,0,0,12,2,2,1099,7,0,1,0
"Sorex caecutiens",0,0,0,0,0,1,0,0,2,74,1,0,0,0,0,0,32,2,0,0,0
"Sorex minutus",1,0,0,0,0,0,0,3,3,20,3,0,0,0,0,0,36,0,0,0,0
"Talpa europaea",1,0,0,0,1,146,13,547,18,3,17,0,0,1,1,218,24,0,0,0,0
