"X","Amalaraeus.penicilliger","Amphipsylla.rossica","Amphipsylla.vinogradovi","Ctenophthalmus.agyrtes","Ctenophthalmus.assimilis","Ctenophthalmus.bisoctodentatus","Ctenophthalmus.uncinatus","Doratopsylla.dasycnema","Hystrichopsylla.talpae","Leptopsylla.segnis","Megabothris.rectangulatus","Megabothris.turbidus","Nosopsyllus.fasciatus","Palaeopsylla.soricis","Paradoxopsyllus.scorodumovi","Peromyscopsylla.bidentata","Peromyscopsylla.silvatica","Rhadinopsylla.integella"
"Apodemus agrarius",0,10,3,9,29,0,0,0,4,0,0,0,2,3,2,0,0,0
"Apodemus flavicollis",0,0,3,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0
"Apodemus uralensis",0,0,3,16,15,0,7,0,2,0,10,3,0,6,2,0,0,0
"Arvicola terrestris",4,9,3,84,88,1,0,0,4,0,0,58,0,16,2,0,0,0
"Clethrionomys glareolus",69,33,3,95,128,1,109,9,23,3,43,25,0,54,2,5,9,2
"Crocidura suaveolens",0,0,3,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0
"Micromys minutus",0,0,3,0,2,0,0,0,2,0,0,2,0,0,2,0,0,0
"Microtus agrestis",15,13,3,65,72,1,36,3,26,3,18,72,0,23,2,2,0,0
"Microtus arvalis",45,839,3,146,1151,3,59,13,59,5,34,205,0,224,2,4,2,0
"Neomys fodiens",0,4,3,8,92,2,6,182,14,0,0,32,0,1413,2,0,0,0
"Sicista betulina",0,0,3,7,7,0,2,0,0,0,0,0,0,8,2,0,0,0
"Sorex araneus",3,43,3,35,105,0,18,211,100,5,6,34,0,1432,2,0,0,0
"Sorex minutissimus",0,0,3,0,0,0,2,2,2,0,0,0,0,7,2,0,0,0
"Sorex minutus",0,7,3,0,10,0,0,4,2,0,0,2,0,54,2,0,0,0
"Talpa europaea",0,13,3,86,85,52,28,13,15,0,0,3,0,69,2,0,0,0
