"X","Amalaraeus.penicilliger","Amphipsylla.marikovskii","Catallagia.dacenkoi","Catallagia.ioffi","Ceratophyllus.indages","Corrodopsylla.birulai","Ctenophyllus.armatus","Megabothris.advenarius","Megabothris.beljaevi","Megabothris.calcarifer","Neopsylla.acanthina","Oropsylla.alaskensis","Peromyscopsylla.ostsibirica","Rhadinopsylla.pseudodahurica","Tarsopsylla.octodecimdentata"
"Alticola macrotis",9,0,4,5,0,0,0,3,21,0,0,0,0,0,0
"Clethrionomys rufocanus",11,4,34,13,0,0,0,49,0,10,0,0,3,8,0
"Clethrionomys rutilus",75,5,48,25,0,2,0,153,0,12,2,0,3,6,0
"Lemmus sibiricus",0,0,3,0,0,0,0,7,0,32,0,0,0,0,0
"Microtus oeconomus",16,6,112,2,0,15,0,13,0,78,0,0,0,0,0
"Sciurus vulgaris",0,0,0,0,3,0,0,0,0,0,0,0,0,0,43
"Sorex arcticus",0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
"Sorex caecutiens",0,0,2,0,0,51,0,2,0,0,0,0,0,0,0
"Sorex cinereus",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"Sorex daphaenodon",0,0,17,0,0,16,0,0,0,12,0,0,0,0,0
"Sorex minutissimus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex roboratus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Spermophilus parryii",0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
"Tamias sibiricus",0,0,0,6,49,0,2,3,0,0,0,0,3,0,0
