"X","Amphipsylla.rossica","Amphipsylla.schelkovnikovi","Callopsylla.caspia","Ceratophyllus.sciurorum","Ctenophthalmus.bogatschevi","Ctenophthalmus.proximus","Ctenophthalmus.secundus","Leptopsylla.taschenbergi","Megabothris.turbidus","Mesopsylla.apscheronica","Myoxopsylla.jordani","Neopsylla.pleskei","Nosopsyllus.consimilis","Nosopsyllus.iranus","Nosopsyllus.laeviceps","Nosopsyllus.mokrzeckyi","Rhadinopsylla.ucrainica","Stenoponia.ivanovi","Stenoponia.tripectinata","Xenopsylla.conformis"
"Allactaga elater",0,0,0,0,0,0,0,0,0,24,0,0,0,5,0,0,0,0,0,0
"Apodemus fulvipectus",0,10,0,4,0,3,2,67,2,0,0,0,9,0,0,2,0,0,0,0
"Arvicola terrestris",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Cricetulus migratorius",0,28,0,0,0,0,3,2,0,0,0,2,0,5,0,0,4,0,0,16
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"Meriones libycus",0,0,0,0,0,0,4,0,0,0,0,0,18,316,273,0,155,0,38,541
"Meriones persicus",0,0,0,0,0,0,5,0,0,0,0,0,47,951,0,0,54,0,158,1387
"Meriones tristrami",0,0,0,0,0,0,0,0,0,0,0,0,9,488,103,0,56,0,167,189
"Microtus arvalis",6,0,0,0,18,0,0,0,0,0,0,0,66,0,0,0,0,2,0,0
"Microtus socialis",2,2,2,0,0,0,75,0,0,0,0,0,100,27,22,0,10,0,0,4
