"X","Ctenophthalmus.dilatatus","Citellophilus.ullus","Oropsylla.silantiewi","Frontopsylla.elata","Amphipsylla.schelkovnikovi","Ctenophthalmus.assimilis","Pectinoctenus.nemorosa","Megabothris.rectangulatus","Amphipsylla.dumalis","Amphipsylla.primaris","Neopsylla.democratica","Neopsylla.mana","Amphipsylla.anceps","Leptopsylla.sicistae","Ceratophyllus.sciurorum","Ctenophthalmus.arvalis","Frontopsylla.ornata","Neopsylla.setosa","Amalaraeus.penicilliger","Hystrichopsylla.talpae","Mesopsylla.hebes","Leptopsylla.nana","Rhadinopsylla.ioffi","Amphipsylla.rossica","Callopsylla.caspia","Frontopsylla.elatoides","Mesopsylla.lenis","Pectinoctenus.lauta","Mesopsylla.eucta","Nosopsyllus.consimilis","Oropsylla.ilovaiskii","Paraneopsylla.ioffi"
"Myospalax myospalax",443,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
"Spermophilus erythrogenys",0,229,0,0,0,0,0,0,0,0,34,0,0,0,0,15,0,2,0,0,0,0,0,0,0,3,0,0,0,0,3,0
"Cricetulus migratorius",0,0,0,20,58,5,0,0,0,6,12,16,36,0,0,6,0,0,0,2,0,11,0,0,0,3,0,5,0,3,0,0
"Apodemus uralensis",0,0,0,26,0,9,57,2,0,0,0,16,5,2,0,0,13,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2
"Microtus arvalis",0,78,0,6,0,7,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Marmota baibacina",0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola strelzowi",0,0,0,8,0,0,0,10,0,43,0,5,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0
"Ellobius talpinus",0,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista tianshanica",0,0,0,0,0,4,0,2,0,0,0,0,0,36,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Arvicola terrestris",0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Microtus oeconomus",0,0,0,2,0,8,0,12,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0
"Clethrionomys rufocanus",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0
"Apodemus agrarius",0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allactaga elater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0
"Microtus gregalis",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alticola argentatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Cricetus cricetus",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista subtilis",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
