"X","Amphalius.runatus","Amphipsylla.longispina","Amphipsylla.primaris","Amphipsylla.vinogradovi","Callopsylla.caspia","Citellophilus.tesquorum","Ctenophyllus.hirticrus","Echidnophaga.oschanini","Frontopsylla.elatoides","Frontopsylla.hetera","Frontopsylla.luculenta","Frontopsylla.wagneri","Neopsylla.bidentatiformis","Neopsylla.mana","Neopsylla.pleskei","Nosopsyllus.laeviceps","Ophthalmopsylla.kukuschkini","Ophthalmopsylla.praefecta","Oropsylla.alaskensis","Paradoxopsyllus.dashidorzhii","Paradoxopsyllus.scorodumovi","Paramonopsyllus.scalonae","Pectinoctenus.pavlovskii","Rhadinopsylla.li","Rhadinopsylla.rothschildi","Wagnerina.tuvensis"
"Allactaga sibirica",0,0,0,0,0,0,0,0,0,0,12,72,0,0,0,0,0,21,0,0,0,0,0,0,0,0
"Alticola argentatus",0,0,1003,3,105,5,0,0,190,28,0,0,13,18,0,0,0,0,0,0,533,110,3,0,0,90
"Alticola barakshin",0,0,913,0,625,0,0,0,42,58,0,0,3,3,0,0,0,0,0,335,0,357,14,3,0,200
"Alticola strelzowi",0,3,982,28,307,5,0,0,22,76,0,0,0,22,0,8,0,0,0,84,852,130,8,3,0,200
"Apodemus peninsulae",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0
"Cricetulus barabensis",0,0,0,106,0,37,2,0,7,8,0,0,33,10,0,0,2,0,0,0,0,0,8,0,2,0
"Cricetulus longicaudatus",0,4,0,134,3,6,0,0,13,11,0,0,4,33,0,0,0,0,0,0,49,2,43,0,0,30
"Meriones meridianus",0,11,0,14,0,11,0,0,13,14,0,0,2,0,0,275,0,0,0,25,0,7,0,0,0,0
"Meriones unguiculatus",0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,53,0,0,0,0,0,2,0,0,0,0
"Phodopus sungorus",0,10,35,12,0,0,0,0,11,8,0,0,0,12,0,0,0,0,0,0,0,2,41,5,0,0
"Spermophilus undulatus",8,7,3,0,0,459,0,14,38,18,0,0,0,9,0,0,0,0,18,13,18,9,0,6,0,0
