"X","Amphipsylla.georgica","Echidnophaga.oschanini","Frontopsylla.semura","Megabothris.asio","Megabothris.calcarifer","Neopsylla.mana","Peromyscopsylla.tikhomirovae","Rhadinopsylla.li","Rhadinopsylla.pentacantha","Rhadinopsylla.pseudodahurica","Rhadinopsylla.rothschildi","Rhadinopsylla.socia","Rhadinopsylla.ucrainica","Rostropsylla.daca","Stenoponia.conspecta","Stenoponia.ivanovi","Stenoponia.montana","Stenoponia.sidimi","Stenoponia.suknevi","Stenoponia.tripectinata","Stenoponia.vlasovi","Synosternus.longispinus","Tarsopsylla.octodecimdentata","Wagnerina.longicauda","Wagnerina.schelkovnikovi","Wagnerina.tuvensis","Xenopsylla.cheopis","Xenopsylla.conformis","Xenopsylla.gerbilli","Xenopsylla.hirtipes","Xenopsylla.magdalinae","Xenopsylla.nubica","Xenopsylla.nuttalli","Xenopsylla.persica","Xenopsylla.skrjabini"
"Allactaga major",0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allocricetulus eversmanni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
"Apodemus agrarius",0,2,0,0,0,0,0,6,5,0,0,0,0,31,0,0,0,0,35,27,0,0,9,84,0,28,0,0,0,0,0,0,14,0,0
"Apodemus flavicollis",0,5,0,0,0,0,0,80,6,0,12,0,0,1210,9,0,0,0,580,39,0,0,49,42,22,473,0,0,0,0,0,23,14,5,21
"Apodemus uralensis",0,0,0,3,0,0,0,69,0,0,16,0,0,493,16,0,0,0,335,43,11,2,23,38,16,284,4,0,8,0,0,39,5,3,11
"Arvicola terrestris",0,0,0,0,0,0,0,20,38,0,0,0,0,49,0,0,0,0,14,72,0,0,12,0,4,8,391,0,0,0,0,0,65,4,0
"Clethrionomys glareolus",0,12,0,4,8,0,0,3409,49,0,8,0,2,1945,0,3,0,0,6548,239,134,0,348,62,578,1433,21,0,2,0,3,304,268,246,378
"Clethrionomys rutilus",0,0,0,0,0,0,0,49,0,0,0,0,0,26,0,0,0,0,82,2,5,0,15,0,7,21,0,0,0,0,0,2,6,13,10
"Cricetulus migratorius",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Cricetus cricetus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0
"Dryomys nitedula",0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmota bobak",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"Microtus agrestis",0,0,0,0,0,0,0,10,5,0,0,0,0,28,0,0,0,0,41,0,3,0,9,0,15,18,0,0,0,0,0,5,2,19,0
"Microtus arvalis",0,5,0,3,0,0,0,175,311,0,24,0,0,439,16,0,0,0,574,200,8,0,154,3,91,198,14,0,0,0,0,54,23,54,15
"Microtus oeconomus",0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,17,18,0,0,6,0,4,11,2,0,0,0,0,3,0,7,0
"Myoxus glis",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neomys fodiens",0,0,0,0,0,0,0,0,0,0,0,0,6,2,7,0,0,0,0,4,27,0,12,0,0,0,0,0,0,0,0,84,0,0,0
"Sciurus vulgaris",0,0,0,0,0,0,163,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicista betulina",0,0,0,0,0,0,0,9,0,0,0,0,0,62,2,0,0,0,106,7,18,0,18,0,18,49,0,0,0,0,0,26,0,3,0
"Sicista subtilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorex araneus",0,0,0,0,0,0,0,47,9,0,0,0,4,138,6,4,0,0,227,22,1833,0,569,3,13,63,2,0,3,0,2,2793,20,16,10
"Sorex minutus",0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,24,4,203,0,25,0,2,6,0,0,0,0,0,404,0,2,0
"Spermophilus major",0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,44,2,504,0,0,0,0,0
"Spermophilus pygmaeus",0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,102,21,0,0,0,0,0,0,0,0,0,240,0,189,0,0,0,0,0
"Spermophilus suslicus",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Talpa europaea",0,0,0,0,0,0,0,4,0,0,0,0,0,218,44,34,0,0,85,54,27,0,71,0,3,3,0,0,0,0,268,29,0,0,4
"Tamias sibiricus",0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
