,"Cinnyris bouvieri","Cinnyris recheinowi","Cinnyris venustrus","Cyanomitra verticalis","Hedydipna collaris","Cinnyris coccinigastrus","Cinnyris cupreus"
"Albizia gummifera",2903,214,505,535,58,0,0
"Nuxia congesta",3746,1469,957,74,0,0,0
"Syzygium guineense",202,22,114,0,0,0,0
"Dombeya ledermannii",10,4,14,0,7,0,0
"Canthium sp.",5,25,12,0,4,0,0
"Polyscias fulva",8,1,0,0,1,0,0
"Anthocleista vogelii",1028,406,711,1019,0,0,0
"Dalbergia latifolia",1597,1465,2547,215,0,0,0
"Anthonotha noldeae",562,1235,919,235,0,212,60
"Harungana madagascariensis",0,24,113,0,0,0,0
"Symphonia globulifera",681,1213,788,182,0,34,0
"Croton macrostachyus",68,6,0,7,1,0,3
"Vitex doniana",0,0,13,0,0,0,0
"Sterculia setigera",0,0,10,0,0,0,0
